单词,释义
inevitable,adj.不可避免的，必然的in（不）+evit（逃避）+able 不能逃避的
infancy,n.幼年
influence,n.影响，感化，势力，有影响的人（或事）vt.影响，改变
infusion,n. 灌输
ingredient,n. 成分，因素
inhabitant,n.居民，居住者
inherit,"vt. 继承, 遗传所得"
initiate,vt.开始，发动，传授v.开始，发起initiate 在里面开始吃――>开始
initiative,n.主动
innate,adj.先天的，天生的in(里面)+nate(天生的)------在里面的先天的
innovation,"n.改革，创新simplified breeds innovation简单孕育创新, "
insanity,"n.精神错乱，疯狂，愚顽in(不)+sane(健全的)不健全的, 精神错乱"
insight,"n.洞察力，见识in(里面)+sight(视野)-----内在视野, 见识"
inspire,"vt.吸（气），鼓舞，感动，激发，启示vi.吸入，启发灵感in(里面)+spire(气)-----呼进一口气, 受到鼓舞"
instrument,n. 工具，手段，器械，器具
insurance,n. 保险，保险单，保险业，保险费
integrate,"vt.使成整体，使一体化，求…的积分v.积分We?integrate,?you?communicate我们集大成，您超越自我。（三菱电工）
"
integrity,n.正直，诚实，完整，完全，完整性in(未) +teg(touch)碰 +rity-后缀----integrity-完整(没有碰过)
intellectual,adj. 智力的，有智力的n.知识分子intel(脑力的)
intelligence,n.智力，聪明，智能intel（英特尔）+ligen（里根）+ce----intel公司和里根都是很有智慧的
intensive,adj.强烈的，精深的，透彻的n.加强器
intent,"n.目的, 意图adj.专心的, 决心的"
interference,n.冲突，干涉inter（中间）+fer（分开）+ence---中间分开----干涉
interpret,v.解释，说明，口译，通译，inter（中间）+pret（解释，说）----解释，说明
invade,vt.侵入; 侵略(别国); 侵犯(主权等)in（里面）+vade（走）----走到里面---侵略
investigate,v.调查，研究
involve,vt.包括，笼罩，潜心于，使陷于
irritate,vt.激怒，使急躁v.刺激ir（不）+rit（笑）+ate---不笑的---激怒了
isolate,"vt.使隔离，使孤立，使绝缘，离析n.隔离种群I(我)+so(如此,那么)+late(迟到,晚)――如果你每天都迟到,来得那么晚,那么你会被别人孤立"
judge,n.法官，审判员，裁判员，鉴赏家，鉴定人vt. 审理，鉴定，判断，判决，
junction,n. 连接，接合，交叉点，汇合处
jungle,n.丛林n.生死关头
justify,v. 证明…是正当的
kin,n. 家属，（集合称），亲戚，同族，血缘关系，adj.有亲属关系的，性质类似的
lamp,n.灯vt.照亮
landscape,n.风景，山水画，地形，前景v.美化
lawsuit,n.诉讼
leakage,n.漏，泄露，渗漏leak(泄露)+age----漏
legacy,n. 遗赠（物），遗产
legitimate,adj.合法的，合理的，正统的，v.合法legitim(法律的）+ate---合法的
liability,"n.责任，义务，倾向，债务，负债li '赖'+ability(能力)-----可依赖的能力, 责任, 义务"
liberal,n. 自由主义者，adj. 慷慨的，宽大的，不拘泥的
literature,"n.文学（作品），文艺，著作，文献liter(文字,字母)+ature"
lobby,n.大厅，休息室，vi. 游说议员，经常出入休息室
loyalty,n. 忠诚，忠心
luxury,n. 华贵
magnify,vt.放大，扩大，赞美，夸大，夸张vi.有放大能力
make sense,v.有意义
malicious,adj.怀恶意的，恶毒的mal表示坏的
managerial,adj.管理的
manipulate,vt.（熟练地）操作，操纵（人或市价、市场）vt.(熟练地）操作，巧妙地处理
manufacture,vt. 制造，加工n.制造，制造业，产品
marathon,n.[体]马拉松赛跑，耐力的考验
maritime,adj.海上的，海事的，海运的，海员的marine航海
masculine,adj. 男性的，男子气概的n. 男子，男孩来自于词根ine表示什么的倾向
mastery,n.掌握
matter-of-fact,adj.实质的，事务性的，平常的
maturity,n. 成熟，完备，（票据）到期来自于形容词mature成熟的，premature就是早熟的意思 
meaningful,adj.意味深长的meaning有意义的
measure,v.尺寸，度量器，两度标准，方法，测量，v.测量，估量，分派，权衡，调节
mere,adj.仅仅的，起码的，纯粹的
merit,n.优点，价值v.有益于
meteorite,n. 陨星
migrant,"n.候鸟n.移民，侨民im(表示进入)即immigrant是(从别国移居进来的)移民,加了前缀em(表示出去)即emmigrant是(移居到国外的)移民"
mild,adj. 温和的，温柔的，淡味的，轻微的，适度的温柔的(mild)m颠倒过来就是野蛮(wild) 
military,adj. 军事的，军用的
minority,n.少数，少数民族majority大多数
mixture,n. 混合，混合物，混合剂
mobility,n.活动性，灵活性，迁移率，机动性mobile phone移动手机，够灵活的
modest,"adj,谦虚的,适度的mod(模式)+est最佳的模式是最适度的"
modify,vt.更改，修改v.修改
mood,n.心情，情绪，语气，状态
moral,adj. 道德上的，精神的n.道德a+moral不道德的
motivate,"v.激发motive是动机, motivate motive激发动机"
muscle,n.肌肉，臂力，
mystery,n. 神秘，神秘的事物
myth,n.神话，虚构的故事，荒诞的说法
nasty,adj.肮脏的，令人厌恶的，下流的，凶相的，威胁的
navigation,n.航海，航空，导航，领航
negative,n.否定，负数，底片adj.否定的，消极的，负的，阴性的相对的词positive
neglect,vt.忽视，疏忽，漏做n.忽视，疏忽，漏做
neutral,n.中立者，中立国，非色彩，齿轮的空档adj.中立的，中立国的，中性的，无确定性质的
nonetheless,adv.虽然如此，但是
nuclear,adj.[核]核子的，原子能的，核的，中心的
obedient,adj.服从的，孝顺的
objective,n.目标，目的，宾格adj.客观的，[语法]宾格的
oblige,"vt.迫使，责成v 感谢, 感激ob(to)+lig(捆)-----去捆在一起, 迫使"
observe,vt.观察，观测，遵守，评述
obsession,"n.迷住，困扰ob(to)+session(会议)-----一开会, 就特别的困扰"
obstacle,n.障碍，妨碍物
opponent,adj.对立的，对抗的n.对手，反对者
optimistic,adj. 乐观的
ordinary,adj.平常的，普通的，平凡的n.[律]推事Ordinary miracle 平凡的奇迹
organ,n.器官n.元件
orient,n. 东方，东方诸国（自地中海以东各国）adj.东方的，上升的，灿烂的新东方
origin,n.起源，由来，起因，出身，传统
overlook,vt.俯瞰 ，耸出，远眺，n.眺望，俯瞰中的景色我们高高在上，俯视有罪的人，我们如此宽容，忽视他们的罪过
overwhelm,vt.淹没，覆没，受打击，制服，压倒
paradox,n.似非而是的论点，自相矛盾的话para(并列，超越）+dox（意见）----并列的意见
parallel,adj.平行的，相同的，类似的，并联的n.平行线，平行面，类似，相似物para（并列）+llel-----平行的
parameter,n.参数，参量meter表示计量的意思
participant,1n.参与者，共享者.adj.参与的
particular,n.细节，详细adj.特殊的，特别的，独特的，详细的，精确的
passage,n.通过，经过，通道，通路段落
patch,n.片，补缀，碎片，斑纹，斑点，眼罩vt.修补，补缀，掩饰，平息
pattern,n.模范，式样，模式，样品，格调，图案vt.模仿，仿造，以图案装饰
payoff,n.发工资，付清，盈利，报应，贿赂adj.决定性的
perceive,vt.察觉v.感知，感到，认识到per（全部）+ceive（抓住）-----全部抓了---感觉到了
performance,n.履行，执行，成绩，性能，表演，演奏来自于动词perform表演，表现
permanent,"adj.永久的，持久的per（一直，完全）+man（手）+ent一直用手拿着的,没有放手的,注意:“持久”的“持”就是用手的意思"
persist,vi.坚持，持续per（完全）+sist（站立）----完全站立坚持
pessimistic,adj.悲观的，厌世的相对的词optimistic
physically,adv.身体上地在文章中当做，实际的，事实上去理解
politician,n.政治家，政客
pollute,vt.弄脏，污染
possession,"n.有, 所有, 拥有; 占有"
postpone,"vt.推迟，使延期，延迟post(往后)+pon(放)----向后放, 推迟"
potential,adj.潜在的，可能的，势的，位的n.潜能，潜力，电压
poverty,n.贫穷，贫困，贫乏，缺少
practical,adj.实际的，实践的，实用的，有实践经验的
praise,vt.赞扬，歌颂，赞美n.赞扬，赞美，荣耀，称赞
precedent,n.先例
precise,adj.精确的，准确的n.精确pre（前面）+cise（切）---在前面切，知道切多少---精确的
predict,v.预知，预言，预报pre（前）+dict（说）---提前说---预言
predominate,vt.掌握，控制，支配，vi.统治，成为主流，支配，占优势pre（前）+dominate（支配）---提前掌控----占优势
preface,n.序文，绪言，前言vi.作序，写前言pre（前面）+face----前言
pregnant,adj. 怀孕的，重要的，富有意义的，孕育的pre+gnant（孕育）---怀孕
prejudice,n.偏见，成见，损害，侵害v.损害Pride and Prejudice 傲慢与偏见
premium,n.额外费用，奖金，奖赏，保险费
pressure,n.压，压力，电压，压迫，强制，紧迫来自于词根press压
presume,"vt.假定，假设，认为pre（提前）+sume（拿取）----假设，同词根的有resume, consume,assume"
prevalence,n.流行来自于动词prevail流行
prevent,v.防止，预防
previous,adj.在前的，早先的adv.在…以前，返回上一级菜单
priest,n.牧师
primary,adj.第一位的，初级的，主要的，初步的n.[常用复数]主要事物
primate,"n.首领，大主教adj.首要的, 第一的，"
primitive,adj.原始的，远古的，粗糙的，简单的
principal,"n.负责人, 首长adj.主要的；最重要的prin主要的+cip+al"
priority,n.先，前。优先，优先权pri-在前 +ority-复合后缀
privacy,n.独处而不受干扰，秘密
procedure,n.程序，手续
proclaim,vt.宣布，声明，显示，显露pro(提前)+claim(声称)----宣称
profound,"adj.深刻的, 意义深远的pro(向前)+found(基底)-----深远的"
profound,1adj.深刻的，意义深远的，渊博的，造诣深的.
prohibit,vt.禁止，阻止pro--
prominent,adj.卓越的，显著的，突出的
promote,1vt.促进，发扬，提升，提拔，晋升为.pro(forword)+ mot(move)+ e向前进一步
prompt,adj.敏捷的，迅速的，即时的adv.准时地
proportion,n.比例，均衡，面积，部分vt.使成比例，分摊，使均衡
propose,"vt.计划，建议，向…提议，求（婚）vi.打算，求婚pro(提前)+pose(放置)----提前放置,提出"
prospect,n.景色，前景，前途，期望vi.寻找，勘探
prosperous,adj.繁荣的pro（向前）+sper（精神）----向前的精神---繁荣
protend,v.(使）伸出，（使）伸展
provision,n.供应，（一批）供应品，预备，防备，规定
purchase,vt.买，购买n.买，购买chase girl的秘诀是purchase
pure,adj.纯的，纯粹的，纯净的，无垢的，纯洁的
pursuit,n.追击
qualitative,adj.性质上的，定性的
racial,adj.人种的，种族的，种族间的
radical,adj.根本的，基本的，激进的n.激进分子
rainforest,雨林
raise,n.上升，高地，提出vt.升起，唤起，提高，解除，饲养，筹集
rare,adj.稀罕的，杰出的，珍贵的adv.非常
rational,"adj.理性的，合理的，推理的n.有理数ration表示定量分配, 定量分配是很理性的"
raw,n.生肉，擦伤处，身上的痛处adj.未加工的，不掺水的，生疏的，阴冷的
real estate,n.房地产，房地产所有权
reality,n.真实，事实，本体，逼真real(真实的）+ity 
reasonable,adj.合理的，有道理的，通情达理的，讲道理的
recession,"n.撤回, 退回, 退后, 工商业之衰退, 不景气re（回）+ cession(走）----往回走---撤退"
recommendation,n.推荐，介绍（信），劝告，建议
recurrence,n.复发，重现，循环re(再)+curr(发生）+ence（名词后缀）----再发生
refine,vt.精炼，精制，使文雅高尚re(再）+fine(范围）---重新制定范围，精炼
reform,n.改革，改善，改良运动，感化vt.改革，革新，重新组成re+form(形式）----重新变化形式，改革
regulate,vt.管制，控制，调节，校准
reinforce,vt.加强，增援，补充，修补，加固vi.求援，得到增援re+inforce（加强）---再一次加强
release,n.释放，让渡，豁免，发行的书，释放证书vt.释放，解放，放弃，发表re+lease(契约）----从约定中返回出来，释放
reliance,n.信任，信心，依靠，依靠的人或物re+li(依赖）+ance名词的后缀----可依赖的
relief,n.（痛苦等的）减轻，（债务等的）免除，救济relief是relieve的名词  re+lief（live）
religious,adj.信奉宗教的，虔诚的，宗教上的，严谨的n.尼姑，修道士
reluctant,"adj. 不愿意的, 勉强的re+luct（喜欢）+ant----不喜欢的---勉强的"
remote,adj.遥远的，偏僻的，细微的
represent,vt.表现，描绘，声称，象征，扮演，回忆vi.提出异议
reproduce,v.繁殖，再生，复制，使…在脑海中重现re(再)+produce(生产)-----再生
reputation,n.名誉，名声repute
rescue,vt.援救，营救n.援救，营救
resemble,vt.象，类似
reserve,n.储备物，储藏量，预备队vt.储备，保存，保留，预定，预约
resident,n.居民，居住者adj.居住的，常住的
resign,n.辞去（职务）v.辞去，辞职re（away，again）+sign---签字后离开---辞职
resist,v.抵抗re（再）+sist（站立）---再一次的站起来抵抗
respond,v.回答，响应，作出反应vi.有反应
responsible,adj.有责任的，可靠的，可依赖的，负责的
restrict,vt.限制，约束，限定
reveal,vt.展现，显示，揭示，暴露re(拿回）+veal（面罩）---面罩拿掉，揭露
revenge,n.报仇，复仇，vt.替…报仇，复仇
revenue,n.收入，税收，国家的收入
reward,n.报酬，奖金vt.酬劳，奖赏
ridiculous,adj.可笑的
rigorous,adj.严格的，严厉的，严酷的，严峻的rigor（严厉）+ous---表示严厉的 还有类似的vigorous
ritual,n.典礼，礼节，（宗教）仪式adj.典礼的，仪式的
route,n.路线，路程，通道v.发送现在我们用的路由器就叫rounter
rust,n.铁锈vt.（使）生锈
sacrifice,n.牺牲，献身，祭品，供奉v.牺牲，献出，献祭，供奉
sake,n.为了…起见，缘故，理由，出于对…的兴趣
salvation,n.拯救，救助
satellite,n.人造卫星
satisfy,vt.满足，说服，使满意，使相信
saturate,v.使饱和，浸透，使充满来自拉丁词根sature使充满
scorn,1n.轻蔑，嘲笑，被叱责的人.vt.轻蔑，不屑做
scream,v.尖声叫，尖声叫喊n.尖叫声，喊叫声，吃到奶油高兴地尖叫
sedentary,adj.久坐的，坐惯的，土生的，沉积的n.惯于久坐的人
segment,n.段，节，片段v.分割
seldom,adv.很少，不常
seminate,vt.传播，散布，播种于
shaky,"adj.虚弱的，颤抖的，不安的，不可靠的摇晃的来自于动词shake, 类似的还有sleep---sleepy, slip----slippy, laze----lazy"
shed,"vt.流出，发散，散发，脱皮，摆脱n.分水岭，小屋棚，工棚，货棚she+d她的小屋, 散发着她的气息(逻辑极其严谨)"
shift,n.移动，轮班，移位，变化，办法，手段vt.替换，转移，改变，移转，推卸，变速
shortfall,n.不足，不足量
significant,"adj.有意义的，重大的，重要的相对的trivial'去他的', 不重要的"
silence,n.静，寂静，沉默，静默vt.使沉默，使安静sil(静)+ence(名词后缀)----寂静的
simulate,"vt.模拟，模仿，假装，冒充stimulate刺激,放一起记"
sin,n.罪，罪恶
slack,"n.松弛，静止，淡季，闲散adj.松弛的，不流畅的，疏忽的，软弱的，呆滞的sl(慢,松)+ack"
slice,"n.薄片，切片，一份，部分，片段v.切（片）lump(块),part(部分),piece(块),slice(薄片)"
slip,n.滑倒，事故，片，纸片adj.滑动的，活络的，有活结的拟声词滑倒时候的声音
solvable,adj.可以解的，可以解决的solve(解决)+able(形容词后缀)
somewhat,adv.稍微，有点，有些
sophisticate,n.久经世故的人，老油条，精于…之道的人vt.篡改，曲解，掺合，弄复杂soph(智慧）成为智慧的人， 老油条，久经世故的
species,n.种类，（原）核素，[律]式样
specify,vt.指定，详细说明，列入清单
spectacle,n.观览物，展览物，公开展示，奇观，景象spect(看）
spirit,n.精神，灵魂，幽灵，妖精，勇气，火力，热情vt.诱拐，鼓励，鼓舞spir（气）+it----精神气
splendid,"adj.壮丽的，辉煌的，极好的splend(亮, 光辉)+id"
spoil,vt.损坏，搞糟，宠坏，溺爱v.扰乱sp(专家)+oil(石油)  专家开发出的石油被践踏了
spread,n.伸展，展开，传播，蔓延，酒席v.伸展，展开，铺，涂，敷，传播，散布sp(专家)+read(读)专家读完后把它的信息散发出去
squeeze,"n.压榨，挤v.压榨，挤，挤榨死柜子,挤我----压榨"
stability,n.稳定性
stake,"n.树桩n.赌金,奖品s(美女) take(拿) stake 拿美女当赌金  at stake危险"
standardize,vt.使标准化，使符合标准
starve,"vt.使俄死“死大五”――都大五(本科毕业已一年)了,还找不到工作,只好挨饿! "
status,n.身份，地位，情形，状况
stem,n.茎，干，词干，茎干v.滋生，阻止
stimulate,vt.刺激，激励v..刺激，激励simulate模拟
stockholder,n.股东stock(股票)+holder(持有者)----股票持有者
strangler,扼杀者，压制者
strategic,adj.战略的，战略上的
strengthen,v.加强，巩固
strive,v.努力，奋斗，力争，斗争
stubborn,adj.顽固的，固执的，坚定的，坚决的，难应付的stub树桩+born出生----生下来就跟树桩一样----固执
stun,"vt.使晕倒，使惊吓，打晕n.晕眩，打昏，惊倒考过stunning, 表示极其的"
subject to,v.使服从，使遭受
subsidiary,n.辅[帮]助的subsidy补助金
substance,"n物质,本质sub(下面)+ st( 站着)+ance---本质的东西永远都存在于表象之下"
subtle,adj.狡猾的，敏感的，微妙的，精细的，稀薄的
suburb,n.市郊，郊区sub( 次级)+urb(城市)----市郊的
successive,"adj.继承的，连续的They have won successive success, 他们赢得了一系列的成功"
sue,vt.控告，向…请求，请愿vi.提出诉讼，提出请求
suffer,vt.遭受，经历，忍受vi.受痛苦，受损害
sufficient,adj.充分的，足够的in+sufficient不充足的
superficially,adv.浅薄的
superiority,n.优越，高傲
supreme,"adj.极度的，极大的，至高的必胜客的pizza, super supreme"
surge,n.巨涌，汹涌，澎湃vi.汹涌，澎湃，振荡，滑脱，放松surge汹涌---向上滚---高涨
surgeon,n.外科医生doctor(医生)--physician(内科医生)--surgeon(外科医生)
surpass,vt.超越，胜过sur(超过)+pass(通过)----超越
survival,"n.生存，幸存，残存，幸存者，残存物sur(超过)+viv(活的)+al----活的比别人长, 存活下来"
suspicious,"adj.(~of).可疑的，怀疑的su(底下)+spic(看)+ious-的---在底下偷偷看某人,就是“怀疑的”"
swamp,n.沼泽，湿地，v.陷入沼泽，淹没，覆没
symbol,n.符号，记号，象征
sympathy,n.同情，同情心
symptom,"n.症状，征兆sym+ptom,sym-共同,ptom谐音“怕疼”---共同怕疼---症状"
synthesize,v.综合，合成
tailor,n.裁缝vt.裁缝，缝制（衣服），适应，适合
tenable,"adj.守得住的, 可防守的 adj. 站得住脚的ten(可站的住脚的)+able----守的住的"
territory,n. 领土，版图，地域
testify,"v.证明，证实，作证testicle(睾丸)和testify(证明)有一个相同的词根,古罗马法庭上男子起誓,都要将手“按在自己的睾丸上”这也就是testicle和testify有一个相同的词根的原因"
testimony,n.证词，宣言，陈述
theory,n.理论，学说，原理，意见，推测
therapy,n.治疗
thoroughly,adv.十分的，彻底地
thrive on,以旺盛
tighten,v.变紧，绷紧，拉紧
tilt,"v. 倾斜；（使）翘起 v 争论tile(瓦片)--- tilt(倾斜)----wilt(枯萎)  tile突然间tilt下来, 把下面的花花草草都砸wilt了"
torpedo,"n.鱼雷，油井爆破筒v.用鱼雷进攻，破坏吐,吡,咚' 鱼雷发射的整个过程"
touchable,adj.可触的，可食用的touch(可触摸的)+able(形容词后缀)
tough,"adj.强硬的，艰苦的，坚强的，坚韧的，强壮的相对的词tender,柔软的"
tragedy,"n.悲剧，惨案，悲惨，灾难相对的comedy,喜剧的"
trait,n.显著的特点，特性
trick,n.诡计，骗局，恶作剧，窍门，诀窍vt.欺骗，哄骗万圣节小朋友们都会说trick or treat 不给糖就捣蛋
typical,adj.典型的，象征性的
ultimate,adj.最后的，最终的，根本的n.最终
undergo,"vt.经历，遭受，忍受去下层生活,经历痛苦, 无法忍受而出走"
uniform,"adj.统一的，相同的，一致的，均衡的n.制服uni(唯一的)+form(形式)----唯一的形式, 统一的"
universe,n.宇宙，世界，万物，领域uni(唯一的)+verse(旋转)-----世界万物都是朝一个方向
unorthodox,adj.非正统的，异教的，异端的un(非)+ortho(正宗的)+dox(意见)-----非正宗的意见
urban,adj.城市的，市区的相对的词rural
urge,vt.催促，力劝n.强烈愿望，迫切要求‘饿急’饿急了，干事都特催着
utilize,vt.利用
vary,vt.改变，变更，是多样化vi.变化，不同，违反
venture,"n.冒险，投机，风险v.冒险，冒昧，斗胆adventure冒险的, 你去蹦极, 叫adventure, 不栓绳就跳下去了, 叫venture 或着 suicide"
victim,"n.受害人，牺牲者，牺牲品vit(邪恶)+tim(胆小)----在邪恶面前我们变的很胆小,所以经常成为受害者"
vigor,"n.精力，活力 伟哥', 伟哥是用来增加精力的"
violence,n.猛烈，强烈，暴力，暴行，强暴viol(暴力)+ence( 名词的后缀)
virtually,adv.事实上，实质上actually
vital,adj.生死攸关的，重大的，生命的，生机的vit(生命)+al----生命当然是很重要的啦
vitamin,n.维他命，维生素念一下就知道了
vocal,adj.发噪音的，声音的，有声的，歌唱的n.元音，声乐作品voc=vok(呼喊)+ al(形容词词缀)
vulnerable,adj.易受攻击的，易受…攻击vuln(伤)+ er+able----易受伤的
wilful,"adj.任性的; 固执的wil(意愿)+ful(完全的)----完全按照自己的意愿, 不听劝阻,任性的"
wipe,v.擦，揩，擦去wiper手帕
yield,"v.出产，生长，生产vi.（~to）屈服，屈从yi(已)+eld(老)----已经老了, 对有些事情就得屈服了"
