英文单词,中文意思,难度
champagne ,n.香槟酒；微黄色,△
champion,"n.冠军,得胜者;拥护者,斗士",
chancellor  ,n.(英)大臣；法官；(德、奥)总理；大学校长,▲
channel,"n.海峡,水道;信道,;路线,途径",
chaos,"n.混乱,紊乱；混沌",▲
chap,n./v.(皮肤)变粗糙；发痛；n.小伙子,▲
character,"n.性格,品质,特性;人物,角色;字符,(汉)字",
characteristic,"a.(of)特有的,独特的 n.特征,特性",
characterize,v.(characterise)表示…的特性;描述…特性,
charity,"n.慈善(团体),仁慈,施舍",▲
charm,"n.吸引力,魅力 v.迷人,(使)陶醉;施魔法于",
chart,n.图表；航海图；航行图 vt.绘图表，制图表,△
charter,"v.租船,租车,租用飞机；n.宪章，特许状",▲
chase,"v./n.追逐,追求",△
chef,n.(餐馆等的)厨师长，厨师,▲
cherish,vt.抱有，怀有(希望等)；爱护，抚育；珍爱,
cherry,n.樱桃(树),
chess,n.棋，国际象棋,
chew,v.咀嚼;思量,▲
chill,"n.寒冷,寒气,寒战 v.使寒冷",△
chin,"n.下巴,颏；不气馁，不灰心",▲
chip,"n.切屑,碎片;(土豆等的)薄片;集成电路块",
choke,"v.窒息,噎住;闷塞,堵塞,阻塞",▲
chop,"v.砍,劈,斩 n.排骨,肉块",△
chorus,"n.合唱队;合唱 v.异口同声地说,随声附和",△
chronic,"a.(疾病)慢性的;积习难改的;严重的,坏的",
circuit,"n.环行,周线,巡回;电路,线路",△
circular,"a.圆(形)的,环形的;循环的 n.传单,通报",
circulate,"v.(使)循环,(使)流通",
circumstances,"n.情况, 形势, 环境",
circus,"n.马戏团,杂技团;马戏场,杂技场",▲
cite,"v.引用,引证,举(例)",△
civil,"a.公民的,市民的;民间的;民用的;有礼貌的",
civilian,n.平民 a.平民的;民用的,
civilization,"n.(=civilisation)文明,文化",
civilize,"v.(=civilise)使文明,开化",
claim,v.要求;声称;索赔 n.要求;断言;索赔;权利,▲
clap,"v.拍手,拍,轻拍 n.拍(手),掌声,霹雳声",▲
clarify,"v.澄清,阐明",
clarity,"n.清晰,明晰",▲
clash,v./n.碰撞 n.碰撞声,
clasp,"n.扣子,钩子;握手 v.扣住,钩住;紧握,紧抱",▲
classic,"n.(pl.)杰作,名著 a.第一流的,不朽的",
classical,"a.经典的,古典(文学)的",
classification,"n.分类,分级",△
classify,"v.分类,分等(级)",
clause,"n.(正式文件或法律文件的)条款;从句,分句",▲
claw,"n.爪,脚爪",▲
clay,"n.粘土,泥土；肉体，人体",▲
clergy,n.牧师，神职人员,▲
click,n.滴答声；vi.发出滴答声,
client,n.律师等的当事人，委托人；商店的顾客,
cliff,n.悬崖;峭壁,▲
climate,"n.气候;风气,社会思潮",
climax,"n.顶点,高潮",
cling,v.(to)粘住;依附;坚持,▲
clip,"v.剪,修剪;钳,夹住 n.夹,钳;回形针",△
cloak,n.斗蓬，披风；掩饰，幌子vt.掩盖，掩饰,▲
clockwise,a.顺时针方向,
clone,n.无性繁殖，克隆；复制品v.克隆,
closet,n.(壁)橱a.私下的vt.把…引进密室会谈,△
clue,"n.线索,暗示",▲
clumsy,"a.笨拙的,愚笨的",▲
cluster,"n.丛,群,串 v.群集,丛生",▲
clutch,"v.抓住,攫住,掌握 n.离合器",△
coach,n.长途公共汽车；教练 vt.训练，指导，培训,
coalition,n.结合体，同盟；结合，联合,▲
coarse,"a.粗糙的,粗劣的;粗鲁的,粗俗的",▲
cocaine,n.可卡因，古柯碱（用作局部麻醉剂）,△
code,"n.代码,代号,密码;法典,法规,规划",
cognitive,a.认知的，认识能力的,▲
coherent ,"a.粘着的,粘附的",△
cohesive,a.粘合性的，有结合力的,▲
coil,"v.卷,盘绕 n.(一)卷,(一)圈;线圈,绕组",▲
coincide,vi.同时发生；巧合；一致；相符；,
coincidence,n.巧合；同时发生，共同存在；符合，一致,
coke,n.焦炭；可口可乐（COCA-COLA）的缩写,
collaborate,vi.协作，合作；(与敌人)勾结,▲
collapse,v./n.倒塌；崩溃；(价格)暴跌；倒闭，破产,△
colleague,"n.同事,同僚",△
collection,"n.收藏(品),收集(物)",
collective,"n.集体 a.集体的,共同的",▲
collide,vi.互撞，碰撞；冲突，抵触,
collision,n.碰撞；(利益，意见等的)冲突，抵触,
colonel,n.(陆军)上校,△
colonial,a.殖民地的，关于殖民的 n.殖民地居民,△
colony,n.殖民地；侨民；聚居区；(动植物的)群体,△
column,"n.圆柱,柱状物;列;(报刊中的)专栏",
combat,"v./n.战斗,搏斗,格斗",
combination,n.结合，联合；化合；团体；组合数码,
combine,v.联合；结合；化合 n.集团；联合企业,
comedy,n.喜剧;喜剧性事件,
comic,a.喜剧的，滑稽的n.连环漫画杂志；喜剧演员,▲
command,n./v.命令，指挥，控制 n.掌握，运用能力,
commemorate,vt.纪念，庆祝,▲
commence,vt.开始；vi.获得学位,△
commend,v.称赞，表扬：委托保管；推荐,▲
comment,"n.注释,评论,意见 v.(on)注释,评论",▲
commerce,n.商业，贸易；交际，交往,△
commercial,a.商业的；商务的；可获利的 n.广告节目,
commission,"n.委员会;委任,委托(书),代办;佣金,手续费",△
commit,"v.把…交托给,提交;犯(错误),干(坏事)",△
committee,"n.委员会,全体委员",▲
commodity,n.(pl.)日用品；商品；农/矿产品；有用之物,▲
commonplace,a.普通的，平庸的n.寻常的事物，平庸的东西,△
commonwealth,"n.共和国,联邦,共同体",▲
communicate,"v.传达,传送;交流;通讯,通话",
communication,"n.通讯,传达;(pl.)通讯系统;交通(工具)",
community,"n.同一地区的全体居民,社会,社区;共同体",△
compact,"a.紧密的,结实的;简明的 v.使紧凑,压缩",△
comparable,"a.(with,to)可比较的,比得上的",
comparative,"a.比较的,相当的",
comparison,"n.比较,对比,比喻,比拟",△
compartment,"n.卧车包房,(客车车厢内的)隔间;分隔的空间",▲
compass,"n.罗盘,指南针;范围;(pl.)圆规；v.包围, 获得",▲
compassion,n.同情；怜悯(for),▲
compatible,"a.能和睦相处的,合得来的;兼容的",▲
compel,"v.强迫,迫使",▲
compensate,"v.(for)补偿,赔偿",
compensation,n.补偿(或赔偿)的款物；补偿，赔偿,
competent,a.有能力的，能胜任的；足够的,▲
compile,vt.编辑，编制，搜集,▲
complain,"v.(about,of)抱怨;申诉",
complaint,n.抱怨，诉苦，怨言，控告；疾病,△
complement,n.补足物，船上的定员；补语 vt.补充，补足,▲
complementary ,a.补充的，辅助的,▲
complex,"a.复杂的;合成的,综合的 n.联合体",△
complicate,v.使..复杂；使..难懂；使（疾病等）恶化；,△
complicated,"a.错综复杂的,麻烦的,难解的",
complication,"n.复杂,纠纷;并发症",
compliment,"n.(pl.)问候,致意 n./v.称赞,恭维",▲
comply,v.(with)遵照，照做，应允；顺从，服从,▲
component,"n.组成部分,成分,元件 a.组成的,合成的",
compose,"v.组成,构成;(of)由…组成;创作(诗歌等)",
composite,a.混合成的，综合成的n.合成物，复合材料,△
composition,"n.作品,作文,乐曲;作曲;结构,组成,成分",△
compound,"n.混合物,化合物 a.混合的,化合的；vt.混合",▲
comprehend,vt.理解，领会；包含，包括,
comprehension,"a.理解(力),领悟；包含，包含力",
comprehensive,"a.内容广泛的,总括性的，综合的",▲
compress,vt.压紧，压缩；(把思想、文字等)浓缩,
comprise,vt.包含，包括，由...组成；构成，组成,△
compromise,"n.妥协, 折衷; vi.妥协; vt.危及, 放弃(原则等)",▲
compulsory,a.必须做的，强制性的，(课程)必修的,▲
compute,"v./n.计算,估计",
conceal,"v.隐藏,隐瞒,隐蔽",
concede,vt.承认；容许；(比赛结束前)认输；退让,△
conceive,"v.(of)设想,构思,想象;以为;怀胎,怀有",
concentrate,"v.(on)集中,专心;浓缩 n.浓缩物",△
concept,n.概念，观念，设想,
concern,"v.涉及,关系到 v./n.关心 n.(利害)关系",
concerning,prep.关于，论及,
concession,n.让步，妥协；特许(权)；,▲
concise,"a.简明的,简洁的",▲
conclude,"v.结束,终止;断定,下结论;缔结,议定",
conclusion,n.结论，推论；结尾；缔结，议定,
concrete,"a.具体的,实质性的n.混凝土v.用混凝土修筑",▲
condemn,"v.谴责,指责;判刑,宣告有罪",▲
condense,v.(使)冷凝，(使)凝结；浓缩，压缩，简缩,
conduct,"n.行为,品行 v.引导;管理;指挥(乐队);传导",
conductor,n.管理者；(汽车)售票员；领队，指挥；导体,△
confer,v.商讨；授予，颁给(勋衔，学位等),△
conference,n.(正式)会议；讨论，商谈,
confess,v.供认，承认，坦白，忏悔,△
confidence,"n.(in)信任;信心,自信;秘密,机密",
confident,"n.(of,in)确信的,自信的",
confidential,a.秘(机)密的；表示信任的；担任机密工作的,△
confine,"vt.限制；使不外出，禁闭；n.边缘, 范围",▲
confirm,"v.使更坚固,使更坚定;(进一步)证实;确认",
conflict,"n.战斗,斗争;抵触,冲突 v.(with)抵触,冲突",▲
conform,vi.(to)遵守，适应；相似，一致，符合,▲
confront,"v.使面临,使遭遇;面对(危险等)",
confuse,"v.使混乱,混淆",△
congratulate,"v.(on)祝贺,向…致贺词",
congress,"n.(代表)大会;(美国等国的)国会,议会",▲
conjunction,n.接合，连接，联合；连(接)词,△
connection,"n.(connexion)联系,连接；亲戚，社会关系",
conquer,"v.征服,战胜,占领;克服,破除(坏习惯等)",
conquest,n.征服，征服地，掠取物,△
conscience,"n.良心,良知",▲
conscientious,a.审慎正直的，认真的，本着良心的,▲
conscious,"a.(of)意识到的,自觉的;神志清醒的",△
consecutive,a.连续的；连贯的；顺序的,▲
consensus,n.(意见等的)一致，一致同意，共识，舆论,▲
consent,"v./n.(to)同意,赞成,答应",▲
consequence,"n.结果,后果,影响;重要性",△
consequently,ad.结果，因此，所以,
conservation,"n.保存,保护,保守;守恒,不灭",△
conservative,"a.保守的,守旧的 n.保守主义者",
considerable,"a.相当大(或多)的,可观的;值得考虑的",△
considerate,"a.考虑周到的,体谅的",△
consideration,"n.需要考虑的事,理由;考虑,思考;体谅,照顾",
consist,"v.(in)在于,存在于;(of)由…组成,由…构成",
consistent,"a.(in)前后一致的, (with)一致, 符合；坚固的",△
console,n.控制台，仪表板；落地柜 vt.安慰，慰问,▲
consolidate,v.使加固，使加强；(把...)联为一体，合并,
conspicuous,"a.显眼的,明显的",▲
conspiracy,n.阴谋，密谋，共谋,▲
constant,"a.固定的，持续的,忠实的 n.常数,恒量",△
constituent,n.选民；成分，组分a.组成的，构成的,
constitute,vt.组成，构成，形成；设立，建立，任命,
constitution,"n.构成,构造,组成(方式),成分;体格;宪法",▲
constrain,vt.限制，约束；克制，抑制,▲
construct,"v.建设,建造,构造;创立",
consult,v.请教，向...咨询，找...商量；查阅，查看,△
consultant,"n.会诊医师,顾问医生;顾问",
consume,vt.消耗；吃完，喝光；(with)使着迷；烧毁,
consumption,"n.消费(量),消耗",
contact,"v./n.(使)接触,联系,交往",
contain,v.包含，容纳；容忍，抑制；可被...除尽,△
container,n.容器;集装箱,
contaminate,"v.弄污,弄脏,毒害,传染,染污",
contemplate,vt.盘算，计议；周密考虑；注视，凝视,▲
contemporary,"a.现代的,当代的;同时代的",▲
contempt,n.轻视，藐视；受辱，丢脸,▲
contend,"v.竞争,斗争;争论;坚决主张;全力奋斗",▲
continual,"a.不断的,连续的,频繁的",
contract,n.(承包)合同/契约 v.订合同/契约；使缩小,
contradict,"v.反驳;同…矛盾,同…抵触",▲
contradiction,n.反驳，否认；矛盾，不一致,
contrast,n.对比，对照 vi.形成对比 vt.把…与…对比,△
contribute,"v.(to)贡献,捐助,捐献;投稿",△
contribution,n.贡献；捐款，捐献物；投稿,
contrive,vt.谋划，策划；设法做到；设计，想出,▲
controversial,"a.引起争论的,有争议的",▲
controversy,n.争论，辩论，争吵,▲
convenience,"n.便利,方便;(pl.)便利设备",
convention,"n.大会,会议;惯例,常规,习俗;公约,协定",▲
conventional,"a.惯例的,常规的",
conversely,ad.相反地,△
conversion,n.转变，转换；信仰的改变；,
convert,"v.变换,转换；改变（信仰等）；兑换（钱）",
convey,"v.运送,搬运,转运;传达,传播",▲
convict,"v.(经审讯)证明…有罪,宣判…有罪 n.囚犯",
conviction,"n.深信,确信; 定罪,判罪",△
convince,"v.(of)使信服,使确信",△
cooperate,"v.(with)合作,协作,相配合",
cooperative,"a.合作的,协作的 n.合作社",▲
coordinate,"a.同等的 n.同等者,坐标 vt.协作,协调",▲
cope,"v.(with)竞争,对抗;(with)对付,妥善处理",▲
copper,"n.铜;铜币,铜制器",
copyright,n.／a.版权(的),
cord,"n.绳,索",▲
cordial,"a.诚恳的,亲切的,热诚的；兴奋剂(饮料)",▲
corporation,n.市镇自治机关；法人；公司，企业,
correlate,"n.相互关联的事物 v.(with,to)(使)互相关联",▲
correspond,"v.通信,(with)符合,一致;(to)相当于,对应",
correspondence,"n.通信,信件;(with)符合;(to)相当于,对应",△
correspondent,"n.记者,通讯员;通信者",▲
corresponding,"a.符合的,相应的,对应的",
corridor,"n.走廊,通路",▲
corrode,"v.(受)腐蚀,侵蚀",△
corrupt,"v.贿赂,收买;腐败,堕落；a.腐败的,贪污的",△
cosmic,a.宇宙的；无比巨大的，无穷尽的,△
costume,n.(流行的)服饰；戏装，(特定场合的)套装,
cosy,"a.暖和舒服的,舒适的；n.保温罩",▲
cottage,"n.村舍,小屋,别墅",△
couch,n.长沙发; (病人躺的)长榻；vt.表达,▲
council,"n.理事会,委员会,议事机构",△
counsel,"v./n.劝告,忠告 n.法律顾问,辩护人",△
counter,"n.柜台;计数器 a./ad.相反(的) v.反对,反击",△
counterpart,n.对应的人(或物),
county,"n.(英国)郡,(美国)县",
coupon,n.证明持券人有某种权利的卡片，票证，赠券,▲
court,"n.法院,法庭;宫廷,朝廷;院子;球场",
courtesy,n.谦恭有礼;有礼貌的举止(或言词),▲
courtyard,n.院子，庭院，天井,
coward,"n.懦夫,胆怯者",▲
crab,"n.螃蟹,蟹肉",△
crack,"n.裂纹,缝隙;破裂声 v.(使)破裂,砸开",△
cradle,n.摇篮;发源地,▲
craft,"n.工艺,手艺,技巧;飞机,飞船",
crane,"n.起重机,鹤",▲
crash,"v./n.碰撞,坠落,摔坏 n.失败,瓦解;爆裂声",△
crawl,"v./n.爬行,蠕动,缓慢(的)行进;爬行字幕;自由泳",▲
creative,"a.有创造力的,创造性的",
credential,n.凭证，(pl.)国书，证明书,▲
credit,"v./n.信用,信任 n.信用贷款,赊欠;名誉,名望",
creep,"v.爬,爬行;(植物)蔓延; 汗毛直竖",▲
crew,"n.全体船员,全体乘务员；v.啼叫",△
cricket,n.板球;蟋蟀,
criminal,"n.罪犯,刑事犯 a.犯罪的,刑事的",
cripple,"n.跛子,残疾人 v.使跛,使残疾",▲
crisis,"n.(pl.crises)危机,紧要关头",
criterion,n.(pl.criteria或criterions)标准，尺度,▲
critic,"n.批评家,评论家",△
critical,"a.批评的,评论的;危急,紧要的;临界的",▲
criticism,n.评论性的文章，评论；批评，指责，非难,
criticize,"v.(criticise)批评,评论",
crucial,"a.至关重要的,决定性的",△
crude,"a.天然的,未加工的;未熟的;粗鲁的,粗野的",▲
cruise,v.巡航；以节省燃料的速度前进 n.乘船巡游,△
crush,"n./v.压碎,压坏 v.压服,压垮",▲
crust,"n.外皮,壳;地壳",△
crystal,"n.水晶,水晶饰品;结晶 a.水晶的,透明的",
cube,"n.立方形,立方体;立方,三次幂",
cultivate,"v.耕作,栽培,养殖;培养,教养,磨炼",
cunning,"a./n.狡猾(的),狡诈(的)；漂亮的,可爱的",▲
cupboard,"n.碗柜,小橱",△
curb,n.路边vt.制止，抑制,▲
curiosity,"n.好奇心;古董,古玩",△
curl,"v.(使)卷曲,蜷缩 n.卷发;卷曲状;卷曲物",▲
currency,"n.流传,流通；通货,货币",
current,"n.电流,水流;潮流,趋势 a.当前的;流通的",
curriculum,"n.(pl.curricula)课程,(学校等的)全部课程",△
curse,"n.诅咒,咒语,祸因 vt.诅咒,咒骂,使受罪",▲
curve,"n.曲线,弯曲(物) v.弄弯,成曲形",
cushion,"n.垫子,软垫 vt.装垫子;缓和,减轻;",▲
customary,"a.习惯的,惯例的",△
cyberspace,n.虚拟信息空间;网络空间,
cycle,"n.自行车;周期,循环 v.骑自行车;循环",
cylinder,"n.圆筒,圆锥体;汽缸",△
dam,"n.水坝,水闸",▲
damn,int.该死 vt.遣责；使失败 a.十足的 ad.极,▲
damp,n.潮湿 a.潮湿的 vt.使潮湿;使衰减,▲
dash,"v./n.冲,猛冲,突进 n.破折号",▲
data,n.(datum的复数)资料，数据,
database,n.(databank)数据库,
dazzle,"v.使惊奇,使倾斜;耀(眼) n.耀眼的光",▲
dealer,n.商人,▲
dean,n.(大学)院长;主持牧师; (基督教)教长,▲
debate,"v./n.争论,辩论",
debt,"n.债,债务",
decade,n.十年,
decay,"v./n.腐朽,腐烂;衰减,衰退",△
deceit,"n.欺骗,欺骗行为",
deceive,"v.欺骗,蒙蔽",
decent,"a.体面的;正派的,合乎礼仪的;合适的",▲
decimal,"a.十进的,小数的,十进制的 n.小数",▲
deck,n.甲板,
declaration ,n.宣言，宣布，声明,
declare,"v.宣布,宣告,声明;断言,宣称",
decline,"v.下降,衰落;拒绝 n.下降;斜面,倾斜,衰落",△
decorate,"v.装饰,装璜,布置",△
decrease,"n.减少,减小;减少量 v.减少,变少,降低",△
dedicate,vt.奉献;献身于;题献,▲
deduce,"vt.(from)演绎,推断,推论",△
deduct,vt.扣除;演绎(推理),▲
deem ,vt.认为 相信,▲
defect,n.过失;缺点;不足,
deficiency,"n.缺乏,不足;缺点,缺陷",△
deficit,"n.赤字,逆差;亏损,亏空;不足,缺乏",▲
define,"v.给…下定义;阐述;阐释;限定,规定",
definite,"a.明确的;一定的;意志坚强的,立场坚定的",▲
definition,"n.定义,解释;(轮廓影像等的)清晰度;阐明;",△
defy,"v.(公然)违抗,反抗;蔑视",▲
degenerate,"v.衰退,堕落,蜕化 a.堕落的 n.堕落者",▲
delegate,n.代表 vt.委派…为代表;授权;委托,▲
deliberate,"a.深思熟虑的,故意的 vt.研讨,商讨",▲
delicate,a.纤弱的;精致的;微妙的;灵敏的,▲
deliver,"v.交付,递送;发表,表达;释放;接生",
delivery,n.递送;交付;分娩;交货;引渡,
demand,"n./v.要求,请求,需要(量) v.查问",
democracy,"n.民主,民主制,民主国家",△
democratic,a.民主的，～ Party   民主党,
demonstrate,"v.论证,证实;演示,说明",▲
denial,n.否认;拒绝;否认某事或某事实的声明,▲
denote,"vt.(用符号等)表示,意味着",▲
denounce,"vt.公开指责,公然抨击;谴责;指控,告发;弹劾",▲
dense,"a.浓厚的,密集的,稠密的",
density,"n.密集,密度,浓度",
dental,a.牙齿的；牙科(用)的；n.齿音,△
dentist,n.牙医,
deny,"v.否认,否定;拒绝",▲
depart,"vi.离开,起程;去世；a.过去的,逝世的",▲
departure,"n.离开,起程",△
depict,"v.描绘;描写,描述",
deposit,v.存放;使沉淀;付(保证金) n.存款;沉积物,△
depress,"v.压抑,降低;使沮丧,压下",
depressed ,a沮丧的 降低的,
deprive,"vt.剥夺,夺去,使丧失",△
deputy,"n.代理人,代表 a.副的,代理的",△
derive,v.取得;导出;引申;来自;源自;出自,▲
descend,"v.下来,下降;遗传(指财产,气质,权利)",▲
descendant,"n.子孙,后代",▲
descent,"n.下降,降下;斜坡;血统,家世",▲
describe,"v.描述,形容",
description,"n.描写,形容;种类",
deserve,"v.应受,值得",
designate,"v.指明,指出;任命,指派",▲
desirable,"a.值得做的;合意的,称心的;期望得到的",
desolate,a.荒凉的;孤独的 v.使荒芜,▲
despair,n.绝望;失望;令人失望的人(事物)v.绝望,
despatch,n./v.(dispatch)派遣;发送 n.急件;新闻报道,▲
desperate,a.不顾一切的，铤而走险的；绝望的，危急的,▲
despise,"v.轻视,蔑视",△
dessert,n.正餐后的水果或甜食,△
destination,"n.目的地,终点",▲
destiny,"n.命运;天数,天命",▲
destruction,n.毁坏，毁灭(的原因),
destructive,a.破坏性,
detach,"vt.分开, 分离, 分遣, 派遣(军队)",▲
detail,"n.细节,详情 v.详述",
detain,"v.耽搁;扣押,拘留",▲
detect,"v.察觉,发觉,侦察,探测",
detector,"n.发现者,侦察器,探测器,检波器,检电器",
deteriorate,"v.(使)恶化,(使)变坏",▲
deviate,"v.(from)背离,偏离",△
device,"n.装置,设备,仪表;方法,设计",
devil,n.魔鬼,△
devise,vt.设计;发明;图谋;作出(计划);想出(办法),▲
dew,n.露水,▲
diagnose,vt.诊断(疾病)；判断(问题),
diagram,n.图表;图解,▲
dialect,n.方言,▲
diameter,n.直径,△
dictate,"v.口授;(使)听写;指令,指示,命令;",
dictation,"n.听写,口述;命令",
diet,"n.饮食,食物",▲
differ,v.(from)与…不同;(with)与…意见不同,
differentiate,"v.区分,区别;(使)不同",△
diffuse,"v.扩散;传播 a.(文章等)冗长的,漫无边际的",△
digest,vt.消化；领会，融会贯通 n.文摘，摘要,
digital,a.数字的;数位的;手指的 n.数字,
dignity,"n.(举止,态度等的)庄严,端庄;尊贵,高贵",▲
dilemma,"n.(进退两难的)窘境,困境",▲
diligent,"a.勤奋的,用功的 ",▲
dilute,"vt.稀释, 冲淡；a.稀释的, 冲淡的",▲
dim,"a.暗淡的,模糊的",△
dimension,"n.尺寸,尺度;维(数),度(数)",
diminish,"v.缩小,减少,递减",△
dip,"v./n.浸,蘸",▲
diploma,"n.毕业文凭,学位证书",△
diplomatic,"a.外交的,从事外交的;策略的,有手腕的",▲
directly,"ad.直接地,径直地;马上,立即",
directory,"n.人名地址录,(电话)号码簿",
disable,vt.使残废;使失去能力;丧失能力,△
disappear,"v.不见,消失",
disaster,"n.灾难,大祸;彻底的失败",△
disastrous,a.灾难性的,
discard,vt.丢弃，抛弃，遗弃,▲
discern,"v.认出,发现;辨别,识别",▲
discharge,"v./n.卸货,排出;发射,放(电);遣散,解雇",△
discipline,"n.纪律,学科；训练, 惩罚",△
disclose,"v.揭示,泄露",
discount,n.折扣；贴现(率) vt.打折扣;不重视,
discourse,"n.论文;演说;谈话;话语 vi.讲述,著述",▲
discreet,a.(言行)谨慎的；慎重的；有判断力的,▲
discrepancy,n.相差;差异;矛盾;,▲
discriminate,"v.区别,辨别;(against)有差别地对待,歧视",▲
disgrace,"n.失宠,耻辱 v.使失宠;玷辱,使蒙羞",△
disguise,"n./v.假装,伪装,掩饰",▲
disgust,"n.厌恶,恶心 v.使厌恶",▲
dismay,"n./v.(使)沮丧;(使)惊慌;(使)失望,(使)绝望",▲
dismiss,"v.免职,解雇,开除,解散",△
disorder,"n.混乱,杂乱;骚乱;失调,疾病",
disperse,"v.(使)分散;(使)散开;疏散,驱散",▲
displace,"v.移置,转移;取代,置换",
displacement ,"n.移置, 转移, 取代",
display,"v./n.陈列,展览,显示(器)",
disposal,"n.处理,处置;布置,安排",△
dispose,"v.(of)处理,处置;(for)布置,安排",△
