英文单词,中文意思,难度
hatch,"v.孵,孵出;策划,图谋 n.舱口,小门",
hatred,"n.憎恨,憎恶,怨恨",▲
haul,"v.拖曳,拖运,用力拖",▲
hazard,"n.危险,冒险,危害 v.冒险,拼命",
heading,n.标题,
headline,"n.大字标题,新闻标题",
headquarters,"n.司令部,指挥部;总部,总局",
heal,"v.治愈,愈合",
heap,"n.(一)堆,大量,许多 v.(up)堆,堆起",▲
hearing,"n.听,倾听;听力;审讯",
heave,v.(用力)举，提，拉；扔；拖；呕吐n.举起,▲
hedge,"n.篱笆,树篱,障碍物 v.用树篱围住",▲
heel,"n.脚后跟,踵,鞋跟",△
heir,n.继承人,▲
helicopter,n.直升(飞)机,
helmet,"n.头盔,钢盔",▲
hemisphere,n.半球,
hence,"ad.从此,今后;因此",▲
henceforth,ad.今后,△
herb,n.药草，(调味用的)香草，草本植物,▲
herd,"n.群,兽群,牛群 v.放牧,群集",▲
heritage,"n.遗产,继承物;传统",
heroic,a.英雄的，英勇的，崇高的,
heroin,n.海洛因,△
heroine,n.女英雄;女主角,△
hesitate,"v.犹豫,踌躇;含糊,支吾",
hierarchy,n.等级制度；统治集团，领导层,▲
highlight,"v.使显著,使突出;强调 n.最精彩的部分",
hijack,v.劫持，劫机，拦路抢劫；揩油,▲
hike,"n.徒步旅行,远足; 增加；vi.徒步旅行；vt.提高",▲
hinder,"v.(from)阻止,妨碍 a.后面的",△
hinge,"n.合页,铰链; 主旨,关键;  vi.(on/upon)依…而定",▲
hint,"n.暗示,提示,线索 v.暗示,示意;(at)间接提及",▲
hip,n.臀部，髋；屋脊,▲
hitherto,"ad.到目前为止,迄今",▲
hoist,"v.举起,升起,吊起",▲
holder,"n.持有者,占有者;(台,架等)支持物",
holy,"a.神圣的,圣洁的",△
homogeneous,a.同种类的，同性质的，有相同特征的,
honorable,"a.(honourable)可敬的;荣誉的,光荣的",
hook,"n.钩,吊钩,钩状物;困境 v.钩住,上瘾",▲
hop,v.人单足跳;跳上(车等) n.蹦跳;短程飞行,▲
horizon,"n.地平线;眼界,见识",
horizontal,a.地平线的;水平的,
horn,"n.(牛羊等的)角;号,喇叭;角状物;角制品",▲
horrible,a.令人恐惧的，可怕的；极讨厌的，糟透的,
hose,"n.水龙带,软管;长统袜 v.用软管(淋浇,冲洗)",▲
hospitality,"n.好客,殷勤,款待",
host,"n.主人;旅店老板;节目主持人;(of)一大群,许多",△
hostage,n.人质,▲
hostess,"n.女主人,女主持人",
hostile,"a.敌对的,敌方的,敌意的",▲
hound,n.猎狗；卑鄙的人 vt.用猎狗追，追逐,▲
household,n.家庭，家人 a.家庭(务)的，家常的,△
hover,vi.(鸟)盘旋，翱翔，(人)逗留在附近徘徊,▲
howl,n.怒吼，嗥叫 vi.(风等)怒吼，咆哮,▲
huddle,n./v.拥挤;聚集v.(up)(因寒冷、害怕而)缩成一团,▲
hum,v.哼曲子；发嗡嗡声；忙碌n.嗡嗡声，嘈杂声,▲
humanity,"n.人类,人性,人情;(pl.)人文科学",
humble,"a.谦卑的,恭顺的;地位低下的 v.降低,贬低",▲
humid,"a.湿的,湿气重的",
humidity,"n.湿气,湿度",
humiliate,v.使羞辱，使丢脸,▲
hurl,vt.猛投，力掷；大声叫骂,▲
hurricane,n.飓风,
hut,"n.小屋,棚屋",▲
hydrogen,n.氢,△
hypocrisy,n.伪善，虚伪,▲
hypothesis,"n.假说,假设,前提",△
hysterical,"a.情绪异常激动的,歇斯底里的",▲
ideal,a.理想的;空想的;理想主义的;唯心的 n.理想,
identical,"a.(to.with)同一的,同样的",▲
identification,"n.识别,鉴别;证件;认同",△
identify,"v.识别,鉴别;(with)把…和…看成一样",△
identity,n.身份;本体;特征;同一(性);一致;国籍;等式,▲
ideology,n.意识形态，(政治或社会的)思想意识,▲
idiot,n.白痴；极蠢的人；笨蛋,△
idle,"a.空闲的;懒散的;无用的 v.空费,虚度",▲
ignite,"v.点火,引燃",▲
ignorance,"n.无知,愚昧;不知道",
ignorant,"a.无知的,愚昧的;不知道的",
illegal,"a.不合法的,非法的",
illiterate,"a.文盲的,未受教育的",▲
illuminate,vt.照亮，照明；用灯光装饰；说明，阐释,▲
illustrate,"v.举例说明,阐明;图解,加插图",▲
illustration,n.说明；例证，插图；举例说明,
image,n.形象，声誉；印象；像；形象的描述，比喻,
imaginary,"a.想象的,虚构的",
imagination,n.想象(力)；空想，幻觉；想象出来的事物,
imaginative,"a.富有想象力的,爱想象的",
imitate,"v.模仿,仿效;仿造,伪造",△
imitation,"n.模仿,仿效;仿制;仿造品",
immense,"a.广大的,巨大的;<口>非常好的",▲
immerse,v.使沉浸在;使浸没,▲
immigrant,"a.(从国外)移来的,移民的 n.移民,侨民",
immune,"a.免疫的,有免疫力的;有受影响的;豁免的",
impact,"n.冲击,碰撞;影响 v.影响;挤入,压紧",
impair,"v.损害,损伤;削弱,减少",▲
impart,vt.传授，给予；告知，通知,▲
impatient,"a.不耐烦的,急躁的",
imperative,n.命令;需要;规则;祈使语气a.强制的;紧急的,▲
imperial,a.帝国的，帝王的；威严的；(度量衡)英制的,
impetus,"n.推动(力),促进",▲
implement ,"n.(pl.)工具,器具 v.贯彻,实现",▲
implication,n.含意，暗示，暗指；牵连,
implicit,a.含蓄的;(in)固有的;无疑问的;绝对的,▲
imply,"v.意指,含…意思,暗示",
import,"v./n.进口,输入,(pl.)进口商品;要旨,含意",
impose,v.征(税);(on)把…强加给,
impress,"v.(on)印,盖印;留下印象,引人注目",
impression,"n.印象,感想;盖印,压痕;一版,一次印刷",
impressive,"a.给人深刻印象的,感人的",
improvement,"n.改进,进步,增进;改进措施",
impulse,"v.推动 n.推动;冲动,刺激",
incentive,n.刺激;动力;鼓励;诱因;动机,▲
incidence,n.影响程度，影响范围；发生率,
incident,"n.事件,事变；a.(to)随带的",
incidentally,"ad.附带地,顺便提及",▲
incline,"v.(使)倾斜;(使)倾向于 n.斜坡,斜面",▲
inclusive,"a.(of)包括的,包含的;范围广的",
incorporate,"v.合并,纳入,结合 a.合并的",△
incredible,"a.不可相信的,惊人的,不可思议的",
incur,"v.招致,惹起,遭受",▲
independence,"n.独立,自主",
independent,"a.(of)独立的,自主的",
index,"n.(pl.indexes,indices)索引 v.附以索引",
indicate,"v.指出,指示;表明,暗示",
indication,"n.指出,指示;表明,暗示",
indicative,"a.(of)指示的,暗示的",
indifferent,"a.冷漠的,不关心的,不积极的",▲
indignant,"a.愤慨的,愤慨不平的",▲
indignation,"n.愤怒,愤慨",▲
indispensable,"a.(to,for)必不可少的,必需的",▲
individual,"a.个人的,单独的;独特的 n.个人,个体",
induce,"v.引诱,劝使;引起,导致;感应",▲
indulge,v.放任，纵容，沉溺；使(自己)纵情享受,▲
industrial,"a.工业的,产业的",
industrialize,v.(industrialise)(使)工业化,
inertia,"n.不活动,惰性;惯性",▲
inevitable,"a.不可避免的,必然发生的；惯常的",▲
infant,"n.婴儿,幼儿；～-school   幼儿园",△
infect,vt.传染，感染；影响(思想等),
infer,"v.推论,推断",▲
inference,"n.推论,推理,推断;结论",
inferior,"a.下等的,下级的;劣等的,差的 n.下级,晚辈",△
infinite,"a.无限的,无穷的 n.无限",△
inflation,n.通货膨胀,△
influence,"n.(on)影响,感化;势力,权势 v.影响,感化",
influential,a.有影响的;有权势的,
inform,"v.(of,about)通知,告诉,报告;告发,告密",
infrared,a./n.红外线(的),
infrastructure,n.基础结构，基础设施,▲
ingenious,a.机敏的;有独创性的;精致的;精巧制成的,▲
ingradient,n.(混合物的)组成部分，配料；成份，要素,△
inhabit,"vt.居住于,存在于;栖息于",▲
inhabitant,"n.居民,住户",▲
inhale,v.吸入(气体等)，吸(烟),
inherent,"a.固有的,内在的,天生的",▲
inherit,vt.继承(金钱等)，经遗传而得(性格、特征),△
inhibit,vt.抑制，约束,▲
initial,"a.最初的,开头的;词首的 n.词首大写字母",
initiate,vt.开始，创始，发动；启蒙，使入门；引入,△
initiative,"a.创始的,起始的 n.第一步,创始,主动精神",
inject,vt.注射(药液等)；注入,
injure,"v.损害,损伤,伤害",
injury,n.伤害，损害,
inland,"a./ad.国内,内地,内陆",▲
inlet,"n.水湾,小湾;进口,入口",▲
innocent,"a.(of)清白的,无罪的;无害的;单纯的,无知的",
innovation,n.改革，革新；新观念，新方法，新发明,
innumerable,"a.无数的,数不清的",△
input,n./v.输入,
inquiry,"n.(enquiry)询问,打听,调查",△
insect,n.昆虫,
insert,"v.插入,嵌入;登载 n.插入物",
insight,"n.洞察力,见识",
inspect,"vt.检查,调查,视察",
inspiration,"n.灵感;鼓舞,激励",△
inspire,"vt.鼓舞,激起;使产生灵感",
instability, n.不稳定(性),
installation,"n.安装,设置;装置,设备",
installment,n.(instalment)分期付款；(连载的)一期,▲
instance,"n.例子,事例,例证",
instant,"a.立即的;紧迫的;(食品)速溶的 n.瞬间,时刻",
instantaneous,"a.瞬间的,即刻的",▲
instinct,"n.本能,直觉,天性",
institute,"n.学会,研究所;学院 v.设立,设置,制定",
institution,n.公共机构;协会;学校;研究所;制度;惯例,▲
instruct,"v.教,教授;命令,指示;通知",
instrument,"n.工具,仪器,器械;乐器",
instrumental,a.仪器的;器械的;乐器的;起作用的;有帮助的,△
insulate,"vt.隔离,孤立;使绝缘,使绝热",▲
insult,"vt./n.侮辱,凌辱",▲
insurance,"n.保险,保险费,保险业",
insure,"vt.保险,给…保险;保证",
intact,"a.完整无缺的,未经触动的,未受损伤的",▲
integral,a.构成整体所必需的;完整的,▲
integrate,"v.(into,with)(使)成为一体,(使)结合在一起",△
integrity,"n.正直,诚实;完整,完全",▲
intellectual,n.知识分子 a.智力的，理智的，有理解力的,△
intelligence,"n.智力,聪明;理解力;情报,消息,报导",
intelligent,"a.聪明的,明智的,理智的",
intelligible,a.可理解的，明白易懂的，清楚的,▲
intend,"vt.想要,打算,企图",
intense,"a.强烈的,剧烈的;热烈的,热情的",
intensity,"n.强烈,剧烈;强度",
intensive,"a.加强的,集中的,深入细致的,精耕细作的",▲
intention,"n.意图,意向,目的",
interact,"v.互相作用,互相影响",
intercourse,"n.交流,交往,交际,性交",
interface,n.接合部位，分界面 v.(使)互相联系,
interfere,"v.(in)干涉,干预;(with)妨碍,打扰",
interim,"a.中间的,暂时的,临时的 n.过渡时期,暂定",▲
interior,"a.内部的,里面的 n.内部,内地",
intermediate,"a.中间的,居间的;中级的 n.中间体,媒介物",▲
intermittent,"a.间歇的,断断续续的",▲
internal,"a.内部的,内的;国内的,内政的",
interpret,"vt.解释,说明;口译",
interrupt,"v.中断,遮断,阻碍;打断(话),打扰",
intersection,n.相交，交叉；道路交叉口，十字路口,
interval,"n.间隔,间歇;(幕间或工间)休息",▲
intervene,"v.(in)干涉,干预;插入,介入",
interview,"v./n.接见,会见;采访;面试",
intimate,"a.亲密的,密切的 n.熟友,熟人",▲
intimidate,vt.胁迫，威胁(某人做某事),▲
intricate,"a.复杂的,错综的,难以理解的",▲
intrigue,"n.阴谋v.密谋,私通;激起…的兴趣;诡计取得",▲
intrinsic,a.(指价值、性质)固有的，本质的，内在的,▲
introduction,"n.(to)介绍;传入,引进;导言,导论,绪论",
intrude,"vi.闯入,侵入vt.把(思想等)强加于人;强挤入",△
intuition,n.直觉，直观；凭直觉而知的事物,▲
invade,"vt.入侵,侵略,侵袭,侵扰",△
invalid,"n.病人,伤残人 a.有病的,伤残的;无效的",
invaluable,"a.非常宝贵的,无价的",
invariably,ad.不变地，永恒地，总是,△
invasion,"n.入侵,侵略,侵犯",
inventory,"n.详细目录,存货,财产清册,总量",▲
inverse,"a.相反的,倒转的,反转的 n.相反之物 v.倒转",
invert,"v.倒置,倒转,颠倒",
invest,"vt.投资,投入(精力、时间等)",
investigate,"v.调查,调查研究",
investment,"n.投资,投资额",
invisible,"a.看不见的,无形的",
involve,"v.卷入,陷入,连累;包含,含有,涉及",
irony,"n.反话, 讽刺, 讽刺之事",▲
irrespective,"a.不顾的,不考虑的,无关的",△
irrigate,vt.灌溉，修水利 vi.进行灌溉,△
irritate,"vt.激怒,恼火,使急躁",△
isle,n.小岛(用于诗歌中),△
isolate,"vt.隔离,孤立",
issue,"n.问题,争端,发行(物),期号 vt.发行,流出",△
item,n.条(款)，项目；一则(新闻)，(戏剧的)节目,△
jargon,n.行话,▲
jaw,"n.颌,颚",△
jealous,"a.(of)妒忌的;猜疑的,警惕的",
jet,"n.喷气发动机,喷气式飞机;喷口 v.喷出,喷射",
jewel,"n.宝石,宝石饰物",
jog,v.慢跑,▲
joint,"n.接合处,接头;关节a.联合的,共同的,连接的",
jolly,"a.欢乐的,高兴的",▲
journal,"n.定期刊物,杂志,日报;日志,日记",
journalist,"n.记者,新闻工作者",
judgement,"n.(judgment)审判,判决;判断(力);看法,意见",
judicial,a.司法的，法庭的，审判的；明断的，公正的,▲
jug,n.(有柄，小口，可盛水等的)大壶，罐，盂,▲
junction,"n.连接,接合,交叉点,枢纽站,接头,中继线",
jungle,"n.丛林,生死地带",▲
junior,"a./n.年少的/者,三年级的/学生,下级(的)",
junk,n.废物，旧货；舢板,▲
jury,n.陪审团;全体评审员,▲
justice,"n.公正,公平;审判,司法",
justify,v.证明...正当(或有理、正确)，为...辩护,
juvenile,"n.青少年,少年读物 a.青少年的, 幼稚的",▲
keen,"a.锋利的;敏锐的;敏捷的;(on)热心的,渴望的",▲
kettle,n.水壶,▲
kidnap,vt.诱拐；绑架，劫持,
kidney,"n.肾,肾脏",
kin,"n.家族,亲属,血缘关系 a.亲属关系的,同类的",▲
kindergarten,n.幼儿园,▲
kingdom,"n.王国,领域",
kit,"n.成套工具,用具包,工具箱",△
knit,"v.编织,编结;接合,粘合",▲
knob,"n.门把,(球形)把手,旋纽",△
knot,n.(绳)结;(树)节;节(=海里/小时) v.打结,▲
label,n.标签 v.把...称为；用标签于；用标签标明,
laboratory,n.实验室研究室,
lace,"n.花边;带子,鞋带 v.系带,扎带",▲
lad,"n.男孩,小伙子",▲
lag,"v./n.落后,滞后 vt.用隔热材料覆盖(锅炉等)",▲
lamb,"n.羔羊,小羊;羔羊肉",▲
lame,"a.跛的,(辩解、论据等)无说服力的",▲
landlord,"n.房东,地主",
lane,"n.小路,小巷,行车道",▲
lantern,"n.灯,灯笼",▲
lap,"n.大腿,(跑道的)一圈,一段路程,工作阶段",
lapse,"n.失误,流逝,丧失,下降 v.失效,偏离,流逝",△
laptop,n.膝上型电脑,
largely,"ad.主要地,基本上;大量地,大规模地",
laser,n.激光,
latent,"a.潜在的,潜伏的,不易察觉的",▲
lateral,"n.侧面的,旁边的",▲
latitude,"n.纬度,行动或言论的自由(范围),(pl.)地区",
latter,a.后者的；后一半的，接近终了的 n.后者,▲
launch,"v.发射;使(船)下水,发动,开展 n.发射,下水",
laundry,"n.洗衣房(店);待洗衣物,所洗衣物",△
lavatory,"n.厕所,盥洗室",▲
lawn,"n.草地,草坪",▲
layer,n.层，层次；铺设者,
layman,n.外行,▲
layoff,"n.临时解雇,操作停止,活动停止期间,失业期",▲
layout,n.安排，布局，设计；规划图，布局图,▲
leading,"a.领导的,指导的;第一位的;最主要的",
leaflet,"n.小叶,嫩叶;传单,活页",△
lean,"v.倾斜,屈身;倚,靠,依赖 a.瘦的,无脂肪的",▲
leap,"v.跳,跳跃 n.跳跃,飞跃",▲
learned,"a.博学的,有学问的",
lease,"vt.出租,租用 n.租借,租期,租赁物",▲
leather,"n.皮革,皮革制品",
legacy,n.遗产，遗赠；先人(或过去)留下的东西,▲
legal,"a.法律的,法定的;合法的,正当的",
legend,"n.传说,传奇",
legislation,n.法律(规)；立法，法律的制定(或通过),▲
legitimate,a.合法的; 合理的; 嫡出的；vt.使合法,▲
leisure,"n.空闲,闲暇;悠闲,安逸",
lens,"n.透镜,镜头",
lest,"conj.惟恐,免得",▲
lever,"n.杆,杠杆,手段,途径,工具",▲
levy,"n.征收,征税,征兵 v.征收,征集,征用,扣押",▲
liability,"n.责任,义务;(pl.)债务",
liable,a.有...倾向的；可能遭受...的；有责任的,▲
liberal,"a.慷慨的,大方的;富足的;自由的,思想开放的",△
liberty,n.自由，自由权；特权,
librarian,n.图书管理员,
license,"n.(licence)许可证,执照 v.准许,认可",
lick,vt.舔；(火焰或浪)掠过；打败 n.舔；少量,▲
lid,n.盖,
lightning,"n.闪电 a.闪电般的,快速的",△
likelihood,n.可能性,
likely,"a.很可能的,有希望的 ad.大概,多半",
likewise,"ad.同样地,照样地;又,也,而且",
limb,"n.肢,翼,大树枝",▲
limitation,"n.限制,局限性",
limited,"a.有限的,被限制的",
limp,"a.柔软的,易曲的 v./n.蹒跚,跛行",▲
linear,a.线的，直线的，线状的；长度的；线性的,
linen,"n.亚麻布,亚麻布制品      【习】家丑不可外扬 ",▲
liner,"n.班机,定期轮船,邮船",▲
linger,"v.逗留,徘徊,拖延,留恋,浪费光阴,苟延残喘",▲
linguistic,a.语言的，语言学的,
link,"v.连接,联系 n.环节,链环",
liquid,"n.液体 a.液体的,液态的",
liquor,n.酒；溶液，液剂,▲
literacy,"n.有文化,有教养,有读写能力",
literally,"ad.照字面意义,逐字地；确实,简直",△
literary,"a.文学上的,文学的;精通文学的,从事写作的",△
literature,"n.文学,文学作品,文献,图书资料,印刷品",
litre,n.(liter)升；公升(容量单位),
litter,"n.垃圾,(杂乱的)废物 v.使杂乱,乱丢",▲
liver,"n.肝,肝脏",
loaf,"n.一个面包,块,游荡；v.游荡, 虚度光阴",▲
loan,"n.贷款;出借,借出 v.借出",
lobby,"n.门廊,门厅,(会议)休息厅；v.游说议员",▲
locality,"n.位置,地点",
locate,"v.查出,探出,查找…地点,使…坐落于,位于",
location,"n.位置,场所,定位,测位",
locker,"n.更衣箱,柜,抽屉",▲
locomotive,"n.机车,火车头 a.运动的,移动的,运载的",▲
lodge,"v.临时住宿,寄宿,寄存,容纳n.传达室,小旅馆",△
lofty,a.崇高的，高尚的；高傲的；极高的,▲
log,"n.原木,圆木;航海日志",▲
logic,"n.逻辑,逻辑学",
logical,"a.逻辑的,符合逻辑的",
longitude,n.经度,
loom,"n.织布机,织机 v.隐现,(危险、忧虑等)迫近",▲
loop,"n.圈,环",△
loose,a.(宽)松的；不精确的；自由的，散漫的,△
loosen,"v.解开,放松",
lord,"n.(Lord)上帝,主;主人,长官,君主,贵族",△
lorry,"n.卡车,运货汽车",▲
lottery,n.抽彩；碰运气的事，难于算计的事,△
lounge,"n.休息室,起居室,客厅；v.闲逛,躺卧, 虚度光阴",▲
loyal,"a.(to)忠诚的,忠贞的",▲
loyalty,"n.忠诚,忠心",△
lubricate,"v.润滑,加润滑油,行贿,收买",▲
luggage,"n.行李,皮箱",△
lumber,"n.木材,木料；v.采伐; 堆积; 缓慢的移动",▲
lump,"n.团,块 v.(使)成团,(使)成块",▲
lunar,a.月亮的,△
lung,n.肺,
lure,"n.吸引力,魅力,诱惑物 vt.引诱，吸引",▲
luxury,"n.奢侈,华贵;奢侈品 a.奢华的,豪华的",
machinery,"n.(总称)机器,机械",
magic,"n.魔术,魔(魅)力,巫术 a.有魔力的,魔术的",
magistrate,n.地方行政官，地方法官，治安官,▲
magnet,"n.磁体,磁铁",△
magnetic,"a.磁的,有磁性的;有吸引力的",
magnificent,"a.华丽的,高尚的,宏伟的",△
magnify,"vt.放大,扩大,夸大,夸张",
magnitude,"n.大小,数量;巨大,广大",△
maid,"n.少女,处女,女仆",▲
maiden,"n.少女,处女 a.未婚的,纯洁的,无经验的",▲
mainland,"n.大陆,本土",△
maintain,"v.维修,保养,维持,供养,坚持,主张,支持",
maintenance,"n.维修,保养,维持,保持,生活费用",
majesty,"n.雄伟,壮丽,庄严,威严;最高权威,王权",▲
majority,"n.多数,大多数,成年,法定年龄",
malignant,a.恶性的，致命的；恶意的，恶毒的,▲
mammal,n.哺乳动物,▲
management,"n.经营,管理;处理,操纵;管理部门",
maneuver ,"v. 演习,运动,巧妙地引导某人(物); n.演习,换防",▲
manifest,"v.表明,证明,显示 a.明白的,明了的; n.旅客名单",▲
manipulate,vt.(熟练地)使用，操作；(巧妙地)处理,
manner,"n.方式;举止;(pl.)风度,礼貌;规矩;风俗",
manual,"a.手的,手工做的,体力的 n.手册,指南",
manufacture,"v.制造,加工 n.制造,制造业;产品",
manuscript,"n.手稿,原稿",△
marble,"n.大理石,云石;弹球",▲
margin,n.页边空白;边缘;余地;幅度,▲
marine,"a.海的,海生的;船舶的,航海的",
marital,"a.婚姻的,夫妻之间的",▲
marvelous,"a.(marvellous)惊人的,奇迹般的,妙极的",▲
Marxist,a.马克思主义的 n.马克思主义者,
masculine,"a.男性的,似男性的;［语］阳性的 n.男子,男孩",▲
mask,"n.面具,面罩,口罩;假面具,伪装 v. 掩饰,化装",▲
mass,"n.大量,众多;团,块;(pl.)群众,民众;质量",
massacre,"vt.残杀,集体屠杀 n.残杀,大屠杀",▲
massive,"a.大而重的,厚实的,粗大的;大规模的,大量的",△
master,"n.男主人;师傅;硕士 v.精通,控制 a.主要的",
masterpiece,"n.杰作,名著",△
mat,"n.席子,垫子",▲
mathematical,a.数学的；数学上的,
mature,"a.成熟的,熟的;成年人的 v.(使)成熟",
mayor,n.市长,▲
meadow,"n.草地,牧场",▲
meantime,"n.(meanwhile)其间,其时 ad.同时,当时",
mechanic,"n.技工,机修工",▲
mechanical,"a.机械的,由机构制成的;机械似的,呆板的",
mechanism,"n.机械装置,机构;机制",
medal,"n.奖章,勋章,纪念章",
medieval,"a.中世纪的,中古(时代)的,老式的,原始的",▲
meditate,"v.想,考虑,(尤指宗教上的)沉思,冥想",▲
medium,"n.(pl.media)媒体,方法,媒介,介质 a.中等的",
melody,n.旋律，曲调；悦耳的音乐,
melon,n.甜瓜,
melt,"v.(使)融化,(使)熔化",
memo,n.(memorandum)备忘录,▲
memorial,"a.记忆的,纪念的 n.纪念物,纪念碑,纪念馆",
memory,"n.记忆,记忆力;回忆;存储(器)",
menace,vt./n.有危险性的人(或物)；威胁，威吓,▲
merchandise,"n.商品,货物",▲
merchant,"n.商人,零售商",▲
mercury,"n.水银,汞",
mercy,"n.仁慈,怜悯,宽恕",
mere,"a.纯粹的;仅仅,只不过",△
merely,adv.仅仅，只不过,
merge,v.(使)结合，(使)合并，(使)合为一体,△
message,"n.消息,信息,通讯,启示,教训,广告词,预言",
metaphor,n.隐喻，暗喻,▲
metric,"a.米制的,公制的",
metropolitan,"a.首都的,主要都市的,大城市",▲
microphone,"n.话筒,扩音器",
microscope,n.显微镜,
midst,"n.中间,当中",
migrate,"v.迁移,移居(国外)",
mild,"a.温和的,轻微的,味淡的,不含有害物质的的",▲
militant,a.好战的，富于战斗性的 n.斗士,
military,"a.军事的,军用的,军队的",
mill,"n.磨粉机,磨坊;作坊,工厂；v.研磨,搅拌",▲
millionaire,n.百万富翁,
mingle,v.(使)混合,▲
miniature,"n.缩小的模型,缩图 a.微型的,缩小的",△
minimize,"v.(minimize)使减少到最少,使降到最低",
minimum,"n.最小值,最低限度 a.最小的,最低的",
ministry,n.(政府的)部;牧师,
minor,"a.较小的,较小的 n.兼修学科 ;未成年 v.(in)兼修",
