英文单词,中文意思,难度
qualification,"n.资格,合格;限定,条件;合格证",△
qualify,"v.(使)具有资格,证明合格;限制,限定;修饰",
qualitative,"a.性质上的,定性的",△
quantify,v.确定数量,
quantitative,"a.数量的,定量的",△
quart,n.夸脱（一种单位）,
quarterly,a.每季的 ad.每季一次 n.季刊,
quartz,n.石英,
queer,"a.奇怪的,古怪的；可疑的；同性恋的",▲
quench,"v.熄灭,扑灭,压制,抑制,止渴",▲
quest,n.探寻，探求；寻求，追求,▲
questionnaire,"n.调查表,问卷",
queue,"n.行列,长队 v.(up)排队,排队等待",▲
quilt,n.被子,△
quit,"v.离开,退出;停止,放弃,辞职",
quiver,"v./n.颤抖,抖动",▲
quiz,"n.小型考试,测验,问答比赛",▲
quota,n.(生产、进出口等的)配额，(移民的)限额,△
quote,"v.引用,援引",△
racial,"a.种的,种族的",
rack,"n.挂物架,搁物架 v.使痛苦,折磨",▲
racket,n.球拍,△
radiant,"a.发光的,辐射的,容光焕发的",△
radiate,"v.放射,辐射;散布,传播",
radical,"a.基本的,重要的;激进的,极端的;根本的",▲
radioactive,"a.放射性,放射引起的",
radius,"n.半径,半径范围,有效航程,范围,界限",▲
rag,"n.抹布,破布,碎布",△
rage,n.愤怒；v.大怒，狂吹，风行,▲
raid,"n/v..袭击,搜查",▲
rail,"n.栏杆,围栏;(pl.)铁路;铁轨;横杆,栏杆",
rake,"n.耙子,耙机 v.耙;搜索,探索",▲
rally,"v.重整,恢复,振作 n.聚集,集会,拉力赛",▲
random,"a.随机的,随意的 n.随机,随意",
range,"n.范围,领域;排列,连续;(山)脉v.排列成行",△
rank,"n.军衔,社会阶层;排 v.分等级,把…分类",
rap,"n.叩击,轻拍,斥责 v.敲,拍,打,斥责,使着迷",△
rape,"n./vt.掠夺,蹂躏,强奸",▲
rare,"a.稀有的,难得的,珍奇的;稀薄的,稀疏的",
rarely,"ad.很少,难得,非常地",
rash,"a.轻率的,鲁莽的 n.皮疹                 ",▲
rate,"n.速率;等级;价格,费用 v.估价;评级,评价",
ratio,"n.比,比率",
rational,"a.理性的,合理的；n.有理数",▲
raw,"a.未煮过的,生的;未加工过的,未经训练的",△
razor,n.剃刀；v.剃,△
react,"v.反应,起作用;(against)反对,起反作用",
readily,"ad.容易地;乐意地,欣然地",▲
realistic,a.现实(主义)的,
reality,"n.现实,实际;真实",
realm,"n.王国,国土;领域",▲
reap,"v.收割,收获",▲
rear,"n.后面,背后,后方 v.饲养,抚养,栽培,举起",△
reasonable,"a.合理的,有道理的;通情达理的;适度的",
reassure,v.使安心，使放心；使消除疑虑,△
rebel,"v.反抗,反叛,起义 n.叛逆者,起义者",
rebellion,"n.叛乱,反抗,起义",
recall,"v.回忆,回想;撤消,收回",
recede,"v.退回,后退;收回,撤回;跌落,缩减,贬值",▲
receipt,"n.收据,收条;收到,接到",
reception,"n.接待,招待会;接收,接受,接收效果",
recipe,"n.烹饪法,食谱;诀窍,方法",△
recipient,"a.接受的,感受性强的 n.接受者,感受者,容器",△
reciprocal,"a.相互的,往复的,互利的；n.倒数",▲
recite,"v.背诵,朗诵",
reckless,"a.不注意的,大意的,卤莽的,不顾后果的",▲
reckon,"v.计算,总计,估计,猜想,依赖",▲
reclaim,"v.要求归还,收回;开垦",▲
recognition,"n.认出,辨认;承认",△
recognize,"v.(recognise)认出,承认,公认,赏识,表扬",
recollect,"v.回忆,想起,记起,忆起,记得",△
recommend,"v.推荐,介绍;劝告,建议",
reconcile,"v.使和好,调解,使调和;(to,with)使一致",▲
recovery,"n.痊愈,复元;重获,恢复",
recreation,"n.娱乐,消遣",▲
recruit,v.征募(新兵)，吸收；补充 n.新成员，新兵,
rectangle,n.长方形，矩形,
rectify,"v.纠正,整顿；[化]精馏；[物]整流",▲
recur,v.(尤指不好的事)一再发生；重现,△
recycle,"v./n.再循环,重复利用",
redundant,"a.多余的,过剩的;(食物)丰富的;被解雇的",▲
reed,"n.芦苇,苇丛;芦笛,牧笛",▲
reel,"n.卷筒,线轴 v.卷,绕",▲
reference,"n.提及,涉及;参考,参考书目;证明书（人）",
refine,"v.精炼,精制,提纯;使文雅,使高尚",△
reflect,"v.反射,反映,表现,反省,沉思",
reflection,"n.(reflexion)映像,倒影;反省,沉思",
reform,"v./n.改革,改造,改良；改过；重组",△
refrain,"v.节制,避免,制止 n.(诗的)叠句",▲
refresh,"v.(使)精神振作,(使)精力恢复",
refreshment,"n.(pl.)点心,饮料;精力恢复,爽快",
refuge,"n.避难处,藏身处",▲
refugee,n.(政治上的)避难者，难民,▲
refund,"n.归还,偿还额,退款 v.退还,偿还,偿付",▲
refusal,"n.拒绝,回绝",△
refute,"v.反驳,驳斥",▲
regarding,"prep.关于,有关",△
regardless,"a./ad.不管…的,不顾…的,不注意的",△
regime,"n.政体,制度",▲
region,"n.地区,地带,行政区,(科学等)领域",
register,"n./v.登记,注册 v.(仪表等)指示,(邮件)挂号",
regulate,"v.管制,控制;调节,校准;调整",
regulation,"n.规则,规章;调节,校准;调整",
rehearsal,"n.排练,排演,演习,预演,试演",▲
rein,"n.缰绳,统治,支配 v.驾驭,控制,统治",▲
reinforce,"v.增援,加强",△
reject,"v.拒绝,抵制,丢弃,排斥,退掉 n.落选者",
rejoice,"v.(使)欣喜,(使)高兴",
relate,"v.叙述,讲述;使互相关联",△
relativity,n.相关(性);相对论,△
relay,"v.中继,转播,接力 n.接替人员,替班",▲
release,"v.释放,解放;发表,发行 n.释放,豁免,放松",
relevant,"a.有关的,中肯的,相应的,实质性的",
reliable,"a.可靠的,可信赖的,确实的",
reliance,"n.信任,信心,依靠,依靠的人或物",
relief,"n.(痛苦等)减轻,解除;援救,救济",△
relieve,"v.减轻,解除,援救,救济,换班",▲
religion,"n.宗教,信仰",
religious,"a.宗教的,信教的,虔诚的",
relish,"n.美味,味道,调味品,食欲,乐趣 v.喜欢,品味",▲
reluctant,"a.不愿的,勉强的",▲
rely,"v.(on)依赖,依靠;信赖,信任",
remain,"v.剩下,余留;留待,尚须;仍然是,依旧是",△
remainder,"n.剩余物,剩下的;余数,余项",△
remark,"n.(about,on)评语,意见；v.(on)评论;注意到",
remarkable,"a.值得注意的;显著的,异常的,非凡的",
remedy,"n.药品;治疗措施 v.治疗,医治;纠正,补救",▲
remnant,"n.剩余(物),零料,遗迹",▲
remote,"a.远的,遥远的,疏远的,偏僻的,细微的",
removal,"n.移动,迁居;除去",△
renaissance,n.复兴，复活，新生，文艺复兴,▲
render,"v.使得,致使;提出,提供,呈报",▲
renovate,"v.更新,修复",▲
repay,"v.偿还,报答",
repel,"v.击退,抵制,使厌恶,使不愉快",▲
repertoire,"n.节目,全部剧目,保留剧目,全部技能",▲
repetition,"n.重复,反复",
replace,"vt.取代,替换,代替,把...放回原处",
replacement,"n.取代,替换,替换物,代替物",
reporter,"n.报告人,通讯员;记者,报导者",
represent,"v.描述,表示;代表,代理;阐明,说明",△
representative,"n.代表,代理人 a.(of)典型的,有代表性的",
repression,n.压抑，压制，镇压,△
reproach,"v./n.责备,指责",▲
reproduce,"v.生殖;翻版;繁殖;复制,仿造",
reptile,n.爬行动物，卑鄙的人；adj.爬行的，卑鄙的,▲
reputation,"n.名誉,名声,声望",
requirement,"n.(for)需要,需要的东西,要求",
rescue,"v./n.营救,援救",▲
resemblance,"n.相似,相似性",
resemble,"v.像,类似",
resent,"v.对…表示忿恨,怨恨",▲
reservation,"n.保留,保留意见;预定,预订",
reserve,"n.储备(物),储备金;缄默 v.保留,储备;预定",
reservoir,"n.水库,蓄水池",▲
residence,"n.住处,住宅",
resident,"n.居民,常住者 a.居住的",
resign,"v.辞去,辞职,使听从(于),使顺从",△
resist,"v.抵抗,反抗;抗,忍得住,抵制",
resistance,"n.(to)抵抗,反抗;抵抗力,阻力;电阻",
resistant,"a.(to)抵抗的,有抵抗力的",
resolute,"a.坚决的,果断的",▲
resolution,"n.坚决,决心;决定,决议",
resolve,"v.决心;(使)分解,溶解;决议 n.解决;决心",▲
resort,"v.凭借,求助,诉诸n.度假胜地,常去之处,手段",△
resource,"n.(pl.)资源,财力;办法,智谋;应变之才",
respective,"a.各自的,各个的",▲
respond,"v.回答,响应,作出反应",
response,"n.回答,响应,反应",
responsibility,"n.责任,责任心;职责,任务",
responsible,"a.(for,to)应负责的;可靠的;责任重大的",
restless,a.得不到休息的;不平静的;坐立不安的,
restore,"v.恢复,使回复;归还,交还;修复,重建",△
restrain,"v.(from)抑制,制止",
restraint,"n.抑制,制止",
restrict,"v.限制,约束",
resultant,a.作为结果而发生的;合成的,▲
resume,"v.再继续,重新开始;再用;恢复n.个人简历",
retail,n.零售,▲
retain,"v.保持,保留",
retention,"n.保留,保持,保持力,记忆力",▲
retire,"v.退休,引退;退却,撤退;就寝",
retort,"n./v.报复,反击,反驳；n.曲颈甑",▲
retreat,"v.撤退,退却",▲
retrieve,vt.重新得到，取回；挽回，补救；检索,▲
retrospect,v./n.回顾，回想，追溯,▲
reveal,"v.展现,显示,揭示,揭露,告诉,泄露",△
revelation,"n.揭示,揭露,显示,启示,新发现,被揭露的事",△
revenge,"n.报复,复仇 v.替…报仇",▲
revenue,"n.财政收入,税收",△
reverse,"n.相反;背面 a.相反的 v.颠倒,倒转",
revise,"v.修订,校订;修正,修改",▲
revive,v.恢复;(使)复苏,▲
revolt,"v./n.反抗,起义",▲
revolutionary,"a.革命的,革新的 n.革命者",
revolve,"v.(使)旋转;考虑;【天】公转,循环",△
reward,"n.(for)报酬,赏金 v.(for)酬劳;酬谢",
rhythm,"n.节奏,韵律",
ribbon,"n.缎带,丝带,带,带状物",▲
ridge,"n.岭,山脉;屋脊;鼻梁",▲
ridiculous,"a.荒谬的,可笑的",
rifle,n.步枪,
rigid,a.刚性的;刻板的;严厉的,▲
rigorous,"a.严格的,严厉的,严酷的,严密的,严谨的",▲
rim,"n.(圆物的)边,边缘;(眼镜)框",▲
riot,"n.暴(骚)乱,蔓延,彩色缤纷 v.骚乱,暴动",▲
rip,"v.撕,剥,劈,锯,裂开,撕裂 n.裂口,裂缝",△
ritual,"a.宗教仪式的,典礼的 n.(宗教)仪式,典礼",▲
rival,"n.竞争者,对手 v.竞争,对抗 a.竞争的",△
roar,"n./v.吼叫,怒号;轰鸣,咆哮",▲
roast,"v.烤,炙,烘",▲
robe,"n.长袍,上衣",△
robust,"a.强健的,雄壮的,精力充沛的,坚固的,浓的",
rod,"n.杆,棒",▲
romance,"n.传奇,爱情故事",
rot,"v.(使)腐烂,(使)腐败,腐朽",
rotary,a.旋转的,△
rotate,v.(使)旋转,
rotten,"a.腐烂的,腐朽的",
roundabout,"a.迂回的,转弯抹角的 n.环状交叉路口",▲
rouse,vt./vi.唤醒，唤起；激励；激起,
route,"n.路线,路程",△
routine,"n.例行公事,常规 a.常规的,例行的",
royal,"a.王室的,皇家的;第一流的,高贵的",
royalty,"n.皇家,皇族",
rub,"v.擦,摩擦",▲
ruby,n.红宝石,▲
rug,n.(小)地毯;围毯,▲
ruin,"v.毁灭;(使)破产 n.毁灭,崩溃;(pl.)废墟",△
rumor,"n.(rumour)传闻,谣言",
rural,"a.乡下的,田园的,乡村风味的",△
rust,n.铁锈 v.(使)生锈,▲
ruthless,"a.残酷的,无情的",▲
sack,"n.袋,包,麻袋 v.解雇",▲
sacred,a.神圣的;宗教的;庄严的,
sacrifice,"n.牺牲,牺牲品;祭品 v.(for,to)牺牲,献出",
saddle,"n.鞍,马鞍,鞍状物；v.承受",▲
safeguard,"v.维护,保护,捍卫 n.安全装置,安全措施",
saint,"n.圣人,基督教徒;(S-或St.用于人,地名前)圣",△
sake,"n.缘故,理由",
salary,"n.薪金,薪水",
salute,"v./n.敬礼,鸣礼炮;迎接,欢迎",
salvation,"n.拯救,救助;救济(者,品),救助工具;救世主",▲
sample,"n.样品,实例,标本,抽样检查 v.取样,采样",
sanction,"n./v.批准,同意,支持,认可 n.处罚,制裁",▲
sane,"a.心智健全的,神志清醒的,明智的,稳健的",△
sarcastic,a.讽刺的,▲
satire,"n.讽刺,讽刺文学,讽刺作品",▲
satisfactory,"a.令人满意的,圆满的,良好的,符合要求的",
saturate,vt.使湿透，浸透；使充满，使饱和,△
sauce,"n.酱汁,调味汁",▲
saucer,"n.茶托,碟子",▲
sausage,"n.香肠,腊肠",▲
savage,"a.野蛮的;凶恶的,残暴的 n.野人,未开化的人",
saw,"n.锯子,锯床 v.锯,锯开",△
scale,"n.刻度;天平,磅秤;比例尺;规模;音阶;鱼鳞",△
scan,"v.细看,审视;浏览;扫描 n.扫描",
scandal,"n.丑闻,诽谤,耻辱,流言蜚语,反感,公愤",▲
scar,"n.疤,疤痕;创伤 v.使留下伤痕,创伤",▲
scarce,"a.缺乏的,不足的;稀少的,罕见的",△
scarcely,"ad.几乎不,简直没有,勉强",△
scare,"n.惊恐,恐慌v.惊吓,受惊",△
scarf,"n.围巾,头巾,领巾,领带",▲
scatter,"v.散开,驱散;散布,散播",
scenery,"n.风景,舞台布景",
scent,"n.气味,香味,香水,线索,嗅觉 v.嗅,发觉",▲
schedule,"n.时间表,进度表 v.安排,预定",△
scheme,"n.计划,方案;阴谋;配置 v.计划,策划;阴谋",△
scholar,n.学者,
scholarship,"n.奖学金;学问,学识",△
scissors,n.剪子,
scope,"n.(活动)范围;机会,余地",
score,"n.得分,分数;二十 v.得(分),记(…的)分数",
scorn,"v./n.轻蔑,藐视",▲
scout,"n.侦察员,侦察机(舰) v.搜索,侦察",△
scramble,vi.(快速地)爬，攀登；互相争夺，争先,▲
scrap,"n.碎片;废料 v.废弃,报废",▲
scrape,"v.刮(掉),擦过,勉强通过 n.刮,擦痕,刮擦声",▲
scratch,"v.抓,搔,扒 n.抓,搔,抓痕;起跑线",▲
screen,"n.屏幕,屏风;帘 v.掩蔽,包庇;筛选",
screw,"n.螺旋,螺丝(钉) v.拧,拧紧",
script,n.剧本(原稿)；手稿，原稿；笔迹，手迹,
scrutiny,n.周密的调查；仔细看；监视；选票复查,▲
sculpture,n.雕刻(术)，雕塑(术)；雕刻作品,
seal,"n.封铅,封条;印,图章;海豹 v.封,密封",
seam,"n.缝,接缝",△
secondary,"a.次要的,二级的;中级的,第二的",
section,"n.章节,部分;地区,部门,科;截面,剖面",
sector,n.部门，部分；防御地段，防区；扇形,
secure,"a.(from,against)安全的,放心的v.得到;防护",
security,"n.安全(感),防御(物),保证(人),(pl.)证券",△
seemingly,ad.外观上，表面上,
segment,"n.段,片,节,部分",
segregate,vt.使分开，隔离（病患等）,▲
select,"v.选择,挑选 a.精选的,选择的",
selection,"n.选择,挑选;选集,精选物",
semester,n.学期,△
semiconductor,n.半导体,
seminar,"n.(大学的)研究班,研讨会",
senate,"n.参议院,上院",▲
senator,n.参议员,△
senior,a.年长的;地位较高的 n.(大学)四年级学生,
sensation,"n.感觉,知觉;激动,轰动,轰动一时的事情",
sensible,"a.明智的,达理的;可觉察的,明显的",△
sensitive,"a.(to)敏感的,易受伤害的;灵敏的",△
sentiment,n.感情，柔情；看法；感觉,△
sequence,"n.先后,次序;连续,数列",
serial,n.连载小说，连续剧；连载刊物 a.连续的,△
series,"n.一系列,连续;丛书",△
session,"n.(一届)会议,一段时间",△
setback,n.挫折；失效；复发；倒退,
setting,n.安置;落山;(固定东西的)柜架底座;环境,△
settlement,"n.解决,决定,调停;居留区,住宅区",
severe,"a.严厉的;剧烈的,严重的,严峻的,艰难的",
sew,"v.缝,缝纫",
shabby,"a.简陋的,破旧的,卑鄙的,不公平的",▲
shady,"a.成荫的,多荫的;可疑的,靠不住的",△
shaft,n.轴;杆状物,
shallow,"a.浅的,浅薄的 n.浅滩,浅处",▲
sham,n./a.假冒(的)，虚伪(的),▲
shark,n.鲨鱼,
shatter,n.碎片；粉碎　v.粉碎；使疲惫；使震骇,▲
shave,"v.剃,刮,刨,削 n.刮脸",▲
shear,"v.剪,修剪",▲
shed,"v.流出;发散,散发,脱落,脱去 n.棚,小屋",▲
sheer,"a.纯粹的,十足的,全然的;陡峭的,险峻的",▲
shell,"n.壳,贝壳;炮弹",△
shelter,"n.掩蔽处;掩蔽,保护 v.掩蔽,躲避,庇护",
shepherd,"n.牧民,牧羊人",▲
shield,"n.防护物,护罩;盾,盾状物 v.保护,防护",
shift,"v.替换,转移n.转换,转变;(轮)班,(换)班",
shipment,"n.装船,装运;装载的货物,装货量",
shiver,"v./n.战栗,发抖",▲
shorthand,n.速记,△
shortly,ad.立刻，不久；不耐烦地，简慢地,
shove,vt.乱推；乱塞vi.用力推，挤n.猛推,▲
shrewd,"a.机灵的,敏锐的;精明的",▲
shrink,"v.起皱,收缩;退缩,畏缩",△
shrug,vt./n.耸肩(表示冷淡、怀疑、无奈、不满等),△
shutter,n.百叶窗；(照相机)快门；关闭装置,
shuttle,n.往返汽车/列车/飞机；穿梭 v.往返穿梭,
sideways,"ad./a.向旁边(的),侧身,横着(的),斜着(的)",△
siege,n.包围，围攻，围困,▲
sigh,"n.叹息,叹息声 v.叹息,叹气",
sightseeing,"n.观光,游览",△
signal,"n.信号,暗号 v.发信号,用信号通知",
signature,"n.签名,署名,签字",
significance,"n.意义,含义;重要性,重要的",
significant,"a.有意义的;重大的,重要的",
signify,"v.表示,意味;要紧,有重要性",△
silicon,n.硅,
simplicity,"n.简单,简易;朴素;直率,单纯",
simplify,"v.简化,使单纯",
simulate,"v.模仿,模拟;假装,冒充",▲
simultaneous,"a.同时的,同时存在的",▲
sin,"n.罪,罪恶 v.犯罪",
sincere,"a.诚挚的,真实的,诚恳的",
singular,"a.非凡的,卓越的;单数的",△
sip,v.小口地喝，抿，呷n.一小口的量,▲
siren,"n.警报声,警报器",▲
situated,a.坐落在…的,
skeleton,"n.骨骼;骨架,框架;梗概,提要",▲
skeptical,a.怀疑的,△
sketch,"n.素描;略图,草图;梗概 v.绘略图,速写,写生",▲
skilled,"a.(in)熟练的,有技能的;需要技能的",
skim,vt.撇去(液体表面)之漂浮物 vi.轻轻掠过,△
skip,vi.略过，跳过 n.跳跃 vt.故意忽略；略过,△
skull,n.头盖骨，颅骨,▲
skyscraper,n.摩天大楼,
slack,"a.懈怠的,松驰的;萧条的 n.淡季;(pl.)便裤",△
slam,v.(门、窗等)砰地关上 n.猛然关闭的声音,
slap,"n./v.拍,掌击",
slash,v./n. 猛砍，削减,▲
slaughter,n.屠杀，屠宰 vt.屠杀，宰杀,▲
sleeve,n.袖子,▲
slender,"a.修长的,细长的,苗条的;微小的,微薄的",▲
slice,"n.薄片,切片;一份;部分切(片)",△
slide,"v.(使)滑动 n.滑坡,滑道;滑,滑动;幻灯片",△
slight,"a.轻微的,微小的;纤细的,瘦弱的",△
slim,"a.苗条的;(机会)少的 v.减轻体重,变苗条",
slip,"v.滑,滑倒;滑掉;溜走n.疏忽,小错,口误,笔误",
slipper,"n.便鞋,拖鞋",△
slippery,"a.滑的,滑溜的",▲
slit,"v.切开,截开,纵割 n.细长裂缝,狭长切口",△
slogan,"n.标语,口号; 广告语",▲
slope,"n.斜坡,斜面;倾斜,斜度 v.(使)倾斜",
slot,n.狭缝；空位vt.放入狭缝中；把…纳入,△
slum,"n.贫民窟,贫民区,陋巷",▲
sly,"a.狡猾的,偷偷摸摸的",▲
smash,"v./n.打碎,粉碎",▲
smog,n.烟雾,△
smuggle,v.走私;偷运,▲
snack,"n.快餐,小吃,点心；v.吃快餐",▲
snap,v.啪地移动；(使）突然断开，断（成两截),△
snatch,"n./v.攫取,抢夺；抓举",
sneak,vi.偷偷地走，溜；vt.偷偷地做(或拿、吃) ,▲
sneeze,vi.打喷嚏，发喷嚏声n.喷嚏,▲
sniff,vi./n.嗅…味道；抽鼻涕；对嗤之以鼻，蔑视,▲
snowstorm,n.暴风雪,
soak,"v.浸泡,浸湿,浸透",▲
soar,vi.(指鸟等)高飞，翱翔；飞涨；高耸,▲
sob,"v./n.哭泣,呜咽",▲
sober,"a.清醒的;认真的,冷静的,适度的；v.镇定",▲
so-called,a.(贬)所谓的，号称的,
sociable,a.好交际的，友好的，合群的,
sociology,n.社会学,
soda,"n.苏打,汽水",
software,n.软件,
solar,"a.太阳的,日光的",
sole,"a.单独的,唯一的 n.脚垫,鞋底",△
solemn,"a.庄严的,隆重的;严肃的",▲
solidarity,n.团结；休戚相关,▲
solitary,a.(好)孤独的；偏僻的；单一的，唯一的,▲
solo,n.独奏 a.&ad.单独的(地)；独唱的(地),△
soluble,a.可溶的，能解释的,△
solution,"n.解答,解决办法;溶解,溶液",
solve,"v.解决,解答",
somewhat,pron.&ad.一点儿，几分,△
sophisticated,"a.尖端的,复杂的,先进的;老练的,老于世故的",
sophomore,(中学、大学)二年级学生,▲
sore,"a.疼痛的;痛心的 n.痛处,疮口",▲
sour,a.酸的;发酸的;酸痛的;脾气坏的;刻薄的,▲
source,"n.源,源泉;来源,出处",
spacecraft,n.宇宙飞船,
spacious,adj.广阔的，宽敞的,
spade,"n.铁锹,铲子",▲
span,"n.跨度,跨距",▲
spark,"n.火花,火星 v.发火花,发电花",△
sparkle,"v.发火花,闪耀",△
spear,"n.矛,枪",
specialist,n.专家,
specialize,"v.(specialise)(in)专攻,专门研究,专业化",△
specialty/speciality ,n.拳头产品 特色 特产,△
species,"n.(物)种,种类",
specific,"a.明确的,具体的;特定的,特有的",
specification,"n.详述;(常pl.)规格,说明书,规范",
specify,"v.指定,详细说明",△
specimen,"n.标本,样本",
spectacle,"n.(pl.)眼镜;场面,景象;奇观,壮观",▲
spectacular,"a.壮观的,引人注目的 n.壮观的演出",▲
spectator,"n.观众,旁观者",△
spectrum,n.谱，光谱，频谱；范围，幅度，系列,
speculate,vi.思索；推测vt.投机；思索，推测,△
sphere,"n.球,球体;范围,领域",
spicy,a.加很多香料的；(口味)浓郁的,△
spider,n.蜘蛛,
spill,"v.溢出,溅出 n.摔下,跌下",▲
spin,"v.旋转;纺纱;织网,吐丝 n.旋转;自转",▲
spine,n.脊柱，脊椎；(动植物的)刺；书脊,△
spiral,a.螺旋形的 n.螺旋，螺线 v.螺旋上升；盘旋,△
spiritual,"a.精神(上)的,心灵的",
spit,"v.吐(唾沫),吐痰 n.唾液",
spite,n.恶意;怨恨,▲
splash,"v.溅,泼 n.溅,飞溅声",▲
split,"v.裂开,劈开;分裂,分离 n.分化,分裂,裂口",
spoil,"v.损坏,搞错;宠坏,溺爱",▲
sponge,n.海绵,▲
sponsor,"n.发起人,主力者,保证人 v.发起,主办",△
spontaneous,"a.自发的,自然产生的",△
spot,"n.斑点;地点 v.认出,认清,发现;玷污,弄脏",
spouse,n.配偶(指夫或妻),▲
spray,"n.喷雾,飞沫,浪花,水花 v.喷,喷射",△
sprinkle,"n.洒,喷,淋",△
sprout,vi.发芽，抽条 vt.使发芽 n.新芽，嫩苗,▲
spur,"n.靴刺,马刺;刺激,刺激物 v.刺激,激励",△
squeeze,"v.压榨,挤 n.榨取,勒索",▲
squirrel,n.松鼠,△
stab,"v./n.刺,戳",▲
stability,"n.稳定,安定",
stable,"a.稳定的,安定的 n.马厩,马棚",△
stack,"n.堆,一堆 v.堆积,堆起",
stadium,n.体育场,
staff,"n.全体职工;杠,棒;参谋部 v.配备工作人员",
stagger,vi.摇晃着移动;蹒跚 n.摇晃不稳的动作;蹒跚,▲
stain,"n.污点,瑕疵 v.沾污;染色",
staircase,n.(stairway)楼梯,
stake,"n.桩,标桩;赌注,利害关系  v.界定, 赌博",▲
stalk,n.茎，梗vt.悄悄地跟踪vi.高视阔步地走,▲
stall,"n.货摊;畜栏,厩 v.(使)停转,(使)停止, ",▲
standpoint,"n.立场,观点",
staple,n.订书钉，主要产品；名产；主食,▲
startle,"v.惊吓,使吃惊",▲
starve,"v.(使)饿死,饿得慌,挨饿",△
state,"n.状态,情况;国,州 v.陈述,说明",
statement,"n.声明,陈述",
statesman,"n.政治家,国务活动家",△
static,"a.(statical)静态的,静力的",△
stationary,"a.静止的,固定的",
