mercy,"n.仁慈,怜悯,宽恕"
quantitative,"a.数量的,定量的"
quantity,"n.量,数量;大量"
quarrel,"v.争吵,争论 n.争吵,争吵的原因"
quart,n.夸脱
quarter,n.四分之一;季;一刻钟;(pl.)方向;(pl.)住处
quarterly,a.每季的 ad.每季一次 n.季刊
quartz,n.石英
queen,"n.女王,皇后,王后"
queer,"a.奇怪的,古怪的"
quench,"v.熄灭,扑灭,压制,抑制,止渴"
quest,n.探寻，探求；寻求，追求
question,"n.问题;询问 v.询问;怀疑,对…表示疑问"
questionnaire,"n.调查表,问卷"
queue,"n.行列,长队 v.(up)排队,排队等待"
quick,"a.快的;灵敏的,伶俐的;敏锐的 ad.快,迅速地"
quiet,"a.安静的,平静的 n.安静 v.使安静,平静"
quilt,n.被子
quit,"v.离开,退出;停止,放弃,辞职"
quite,"ad.十分,完全;相当,颇;的确,真正"
quiver,"v./n.颤抖,抖动"
quiz,"n.小型考试,测验,问答比赛"
quota,n.(生产、进出口等的)配额，(移民的)限额
quote,"v.引用,援引"
rabbit,n.兔子
race,"n.赛跑;人种,种族;属,种 v.赛跑"
racial,"a.种的,种族的"
rack,"n.挂物架,搁物架 v.使痛苦,折磨"
racket,n.球拍
radar,n.雷达
radiant,"a.发光的,辐射的,容光焕发的"
radiate,"v.放射,辐射;散布,传播"
radical,"a.基本的,重要的;激进的,极端的;根本的"
radio,n.收音机；无线电报，无线电话v.无线电通讯
radioactive,"a.放射性,放射引起的"
radius,"n.半径,半径范围,有效航程,范围,界限"
rag,"n.抹布,破布,碎布"
rage,n.愤怒
raid,"n/v..袭击,搜查"
rail,"n.栏杆,围栏;(pl.)铁路;铁轨;横杆,栏杆"
railroad,n.(railway)铁路 v.由铁道运输
rain,n.雨；雨天；下雨 vi.下雨 vt.使大量落下
rainbow,n.虹
raise,"v.举起,提升;增加;饲养;引起;竖起;提出"
rake,"n.耙子,耙机 v.耙;搜索,探索"
rally,"v.重整,恢复,振作 n.聚集,集会,拉力赛"
random,"a.随机的,随意的 n.随机,随意"
range,"n.范围,领域;排列,连续;(山)脉v.排列成行"
rank,"n.军衔,社会阶层;排 v.分等级,把…分类"
rap,"n.叩击,轻拍,斥责 v.敲,拍,打,斥责,使着迷"
rape,"n./vt.掠夺,蹂躏,强奸"
rapid,"a.快,急速的 n.(pl.)急流,湍滩"
rare,"a.稀有的,难得的,珍奇的;稀薄的,稀疏的"
rarely,"ad.很少,难得,非常地"
rash,"a.轻率的,鲁莽的 n.皮疹"
rat,n.鼠
rate,"n.速率;等级;价格,费用 v.估价;评级,评价"
rather,"ad.相当,有一点儿;宁愿,宁可"
ratio,"n.比,比率"
rational,"a.理性的,合理的"
raw,"a.未煮过的,生的;未加工过的,未经训练的"
ray,"n.光线,射线"
razor,n.剃刀
reach,"v.抵达;(out)伸手,够到 n.能达到的范围"
react,"v.反应,起作用;(against)反对,起反作用"
read,v.朗读；阅读 vt.辨认，观察 vi.读到，获悉
reader,n.读者；读本，读物；(英国的)大学讲师
readily,"ad.容易地;乐意地,欣然地"
reading,"n.读书,读物,(仪表等的)读数,阅读"
ready,"a.(for)准备好的,现成的;甘心的"
real,"a.真的,真实的;实际的,现实的"
realise,"v.(realize)认识到,体会到;实现"
realistic,a.现实(主义)的
reality,"n.现实,实际;真实"
really,"ad.确实,实在,真正地,果然"
realm,"n.王国,国土;领域"
reap,"v.收割,收获"
rear,"n.后面,背后,后方 v.饲养,抚养,栽培,举起"
reason,"n.原因,理性,理智 v.推理,说服,辩论,讨论"
reasonable,"a.合理的,有道理的;通情达理的;适度的"
reassure,v.使安心，使放心；使消除疑虑
rebel,"v.反抗,反叛,起义 n.叛逆者,起义者"
rebellion,"n.叛乱,反抗,起义"
recall,"v.回忆,回想;撤消,收回"
recede,"v.退回,后退;收回,撤回;跌落,缩减,贬值"
receipt,"n.收据,收条;收到,接到"
receive,"v.收到,接到;遭受,受到;接待,接见"
recent,"a.新近的,近来的"
reception,"n.接待,招待会;接收,接受,接收效果"
recipe,"n.烹饪法,食谱;诀窍,方法"
recipient,"a.接受的,感受性强的 n.接受者,感受者,容器"
reciprocal,"a.相互的,往复的,互利的"
recite,"v.背诵,朗诵"
reckless,"a.不注意的,大意的,卤莽的,不顾后果的"
reckon,"v.计算,总计,估计,猜想,依赖"
reclaim,"v.要求归还,收回;开垦"
recognition,"n.认出,辨认;承认"
recognize,"v.(recognise)认出,承认,公认,赏识,表扬"
recollect,"v.回忆,想起,记起,忆起,记得"
recommend,"v.推荐,介绍;劝告,建议"
reconcile,"v.使和好,调解,使调和;(to,with)使一致"
record,n.记录;最高记录;履历;唱片v.记录;录音
recorder,n.记录员;录音机
recover,"v.收回;(from)恢复,痊愈;重新获得"
recovery,"n.痊愈,复元;重获,恢复"
recreation,"n.娱乐,消遣"
recruit,v.征募(新兵)，吸收；补充 n.新成员，新兵
rectangle,"n.[数]矩形, 长方形"
rectify,"v.纠正,整顿, [化]精馏"
recur,v.(尤指不好的事)一再发生；重现
recycle,"v./n.再循环,重复利用"
red,a.红的，红色的 n.红色；红色颜料
reduce,"v.减少,缩小;简化,还原"
reduction,"n.减小,减少,缩小"
redundant,"a.多余的,过剩的;(食物)丰富的;被解雇的"
reed,"n.芦苇,苇丛;芦笛,牧笛"
reel,"n.卷筒,线轴 v.卷,绕"
refer,"v.参考,查询;提到,引用,涉及;提交,上呈"
reference,"n.提及,涉及;参考,参考书目;证明书（人）"
refine,"v.精炼,精制,提纯;使文雅,使高尚"
reflect,"v.反射,反映,表现,反省,沉思"
reflection,"n.(reflexion)映像,倒影;反省,沉思"
reform,"v./n.改革,改造,改良"
refrain,"v.节制,避免,制止 n.(诗的)叠句"
refresh,"v.(使)精神振作,(使)精力恢复"
refreshment,"n.(pl.)点心,饮料;精力恢复,爽快"
refuge,"n.避难处,藏身处"
refugee,n.(政治上的)避难者，难民
refund,"n.归还,偿还额,退款 v.退还,偿还,偿付"
refusal,"n.拒绝,回绝"
refuse,"v.拒绝,谢绝 n.废物,垃圾"
refute,"v.反驳,驳斥"
regard,"v.(as)把…看作为;考虑n.(pl.)敬重,问候"
regarding,"prep.关于,有关"
regardless,"a./ad.不管…的,不顾…的,不注意的"
regime,"n.政体,制度"
region,"n.地区,地带,行政区,(科学等)领域"
register,"n./v.登记,注册 v.(仪表等)指示,(邮件)挂号"
regret,"v./n.遗憾,懊悔,抱歉"
regular,"a.有规律的;整齐的,匀称的,正规的,正式的"
regulate,"v.管制,控制;调节,校准;调整"
regulation,"n.规则,规章;调节,校准;调整"
rehearsal,"n.排练,排演,演习,预演,试演"
reign,"n./v.统治,支配,盛行 n.统治时期 v.占优势"
rein,"n.缰绳,统治,支配 v.驾驭,控制,统治"
reinforce,"v.增援,加强"
reject,"v.拒绝,抵制,丢弃,排斥,退掉 n.落选者"
rejoice,"v.(使)欣喜,(使)高兴"
relate,"v.叙述,讲述;使互相关联"
relation,"n.关系,联系;亲属,亲戚"
relationship,"n.关系,联系"
relative,"a.相对的,比较的,有关系的 n.亲戚,关系词"
relativity,n.相关(性);相对论
relax,"v.(使)松驰,放松"
relay,"v.中继,转播,接力 n.接替人员,替班"
release,"v.释放,解放;发表,发行 n.释放,豁免,放松"
relevant,"a.有关的,中肯的,相应的,实质性的"
reliable,"a.可靠的,可信赖的,确实的"
reliance,"n.信任,信心,依靠,依靠的人或物"
relief,"n.(痛苦等)减轻,解除;援救,救济"
relieve,"v.减轻,解除,援救,救济,换班"
religion,"n.宗教,信仰"
religious,"a.宗教的,信教的,虔诚的"
relish,"n.美味,味道,调味品,食欲,乐趣 v.喜欢,品味"
reluctant,"a.不愿的,勉强的"
rely,"v.(on)依赖,依靠;信赖,信任"
remain,"v.剩下,余留;留待,尚须;仍然是,依旧是"
remainder,"n.剩余物,剩下的;余数,余项"
remains,"n.(pl.)剩余,残余,遗迹"
remark,"n.(about,on)评语,意见 v.(on)评论;注意到"
remarkable,"a.值得注意的;显著的,异常的,非凡的"
remedy,"n.药品;治疗措施 v.治疗,医治;纠正,补救"
remember,"v.记住;(to)转达问候,代…致意,代…问好"
remind,"v.(of)提醒,使想起"
remnant,"n.剩余(物),零料,遗迹[风] a.剩余的,残留的"
remote,"a.远的,遥远的,疏远的,偏僻的,细微的"
removal,"n.移动,迁居;除去"
remove,"v.移动,脱掉,调动,免职"
renaissance,n.[the R-]文艺复兴(时期)；新生，复兴
render,"v.使得,致使;提出,提供,呈报"
renew,"v.(使)更新,恢复,重新开始,继续"
renovate,"v.更新,修复"
rent,"v.租,租赁 n.租金"
repair,"n.修理,修补 v.补救,纠正;修理"
repay,"v.偿还,报答"
repeat,"v.重复,重说,重做 n.重复"
repeatedly,"ad.重复地,再三地"
repel,"v.击退,抵制,使厌恶,使不愉快"
repertoire,"n.节目,全部剧目,保留剧目,全部技能"
repetition,"n.重复,反复"
replace,"vt.取代,替换,代替,把...放回原处"
replacement,"n.取代,替换,替换物,代替物"
reply,"v./n.(to)回答,答复,以…作答"
report,"n./v.报告,汇报;传说,传阅"
reporter,"n.报告人,通讯员;记者,报导者"
represent,"v.描述,表示;代表,代理;阐明,说明"
representative,"n.代表,代理人 a.(of)典型的,有代表性的"
repression,n.压抑，压制，镇压
reproach,"v./n.责备,指责"
reproduce,"v.生殖;翻版;繁殖;复制,仿造"
reptile,n.爬行动物
republic,"n.共和国,共和政体"
republican,a.共和的
reputation,"n.名誉,名声,声望"
request,"v./n.请求,要求"
require,"v.需要;(of)要求,命令"
requirement,"n.(for)需要,需要的东西,要求"
rescue,"v./n.营救,援救"
research,"v./n.(into,on)研究,调查"
resemblance,"n.相似,相似性[点,物]"
resemble,"v.像,类似"
resent,"v.对…表示忿恨,怨恨"
reservation,"n.保留,保留意见;预定,预订"
reserve,"n.储备(物),储备金;缄默 v.保留,储备;预定"
reservoir,"n.水库,蓄水池"
residence,"n.住处,住宅"
resident,"n.居民,常住者 a.居住的"
resign,"v.辞去,辞职,使听从(于),使顺从"
resist,"v.抵抗,反抗;抗,忍得住,抵制"
resistance,"n.(to)抵抗,反抗;抵抗力,阻力;电阻"
resistant,"a.(to)抵抗的,有抵抗力的"
resolute,"a.坚决的,果断的"
resolution,"n.坚决,决心;决定,决议"
resolve,"v.决心;(使)分解,溶解;决议 n.解决;决心"
resort,"v.凭借,求助,诉诸n.度假胜地,常去之处,手段"
resource,"n.(pl.)资源,财力;办法,智谋;应变之才"
respect,"n./v.尊敬,尊重 n.敬意,问候,关系,方面"
respective,"a.各自的,各个的"
respond,"v.回答,响应,作出反应"
response,"n.回答,响应,反应"
responsibility,"n.责任,责任心;职责,任务"
responsible,"a.(for,to)应负责的;可靠的;责任重大的"
rest,n.休息；剩余部分 v.休息；睡；放，靠，搁
restaurant,"n.餐馆,饭店"
restless,a.得不到休息的;不平静的;坐立不安的
restore,"v.恢复,使回复;归还,交还;修复,重建"
restrain,"v.(from)抑制,制止"
restraint,"n.抑制,制止"
restrict,"v.限制,约束"
result,"n.结果,成绩 v.结果,致使,导致,由…而造成"
resultant,a.作为结果而发生的;合成的
resume,"n.个人简历 v.再继续,重新开始;再用;恢复"
retail,n.零售
retain,"v.保持,保留"
retention,"n.保留,保持,保持力,记忆力"
retire,"v.退休,引退;退却,撤退;就寝"
retort,"n./v.报复,反击,反驳"
retreat,"v.撤退,退却"
retrieve,vt.重新得到，取回；挽回，补救；检索
retrospect,v./n.回顾，回想，追溯[反]foresee
return,"v./n.返回,回来;归还,送还;回答"
reveal,"v.展现,显示,揭示,揭露,告诉,泄露"
revelation,"n.揭示,揭露,显示,启示,新发现,被揭露的事"
revenge,"n.报复,复仇 v.替…报仇"
revenue,"n.财政收入,税收"
reverse,"n.相反;背面 a.相反的 v.颠倒,倒转"
review,"v.回顾,复习 n.回顾,复习;评论"
revise,"v.修订,校订;修正,修改"
revive,v.恢复;(使)复苏
revolt,"v./n.反抗,起义"
revolution,"n.革命;旋转,转数"
revolutionary,"a.革命的,革新的 n.革命者"
revolve,"v.(使)旋转;考虑;【天】公转,循环"
reward,"n.(for)报酬,赏金 v.(for)酬劳;酬谢"
rhythm,"n.节奏,韵律"
rib,"n.肋骨,肋状物"
ribbon,"n.缎带,丝带,带,带状物"
rice,"n.稻,米"
rich,"a.富的,有钱的;富饶的;(in)充足的,丰富的"
rid,"v.(of)使摆脱,使去掉"
riddle,"n.谜,谜语"
ride,"v./n.骑,乘"
ridge,"n.岭,山脉;屋脊;鼻梁"
ridiculous,"a.荒谬的,可笑的"
rifle,n.步枪
right,"a.右的,正确的 n.右,权利ad.在右边,正确地"
rigid,a.刚性的;刻板的;严厉的
rigorous,"a.严格的,严厉的,严酷的,严密的,严谨的"
rim,"n.(圆物的)边,边缘;(眼镜)框"
ring,"n.戒指;环;铃声;(打)电话 v.按(铃),敲(钟)"
riot,"n.暴(骚)乱,蔓延,彩色缤纷 v.骚乱,暴动"
rip,"v.撕,剥,劈,锯,裂开,撕裂 n.裂口,裂缝"
ripe,"a.熟的,成熟的;(for)时机成熟的"
rise,"v.升起;起立;上涨;起义 n.上涨,增高;起源"
risk,v.冒…的危险 n.冒险;风险
ritual,"a.宗教仪式的,典礼的 n.(宗教)仪式,典礼"
rival,"n.竞争者,对手 v.竞争,对抗 a.竞争的"
river,n.河流
road,"n.路,道路,途径"
roar,"n./v.吼叫,怒号;轰鸣,咆哮"
roast,"v.烤,炙,烘"
rob,"v.(of)抢劫,盗取;非法剥夺"
robe,"n.长袍,上衣"
robot,"n.机器人,自动机械"
robust,"a.强健的,雄壮的,精力充沛的,坚固的,浓的"
rock,"n.岩石,石块 v.摇,摇动"
rocket,n.火箭
rod,"n.杆,棒"
role,"n.角色,作用,任务,职责"
roll,"v.滚动;使摇摆;卷,卷起 n.卷,卷形物;名单"
romance,"n.传奇,爱情故事"
romantic,"a.浪漫的,传奇式的;不切实际的,好幻想的"
roof,"n.屋顶,顶"
room,n.房间，室，空间，地方；余地
root,"n.根,根部;根本,根源 v.(使)生根,(使)扎根"
rope,"n.绳,索"
rose,"n.玫瑰,蔷薇"
rot,"v.(使)腐烂,(使)腐败,腐朽"
rotary,a.旋转的
rotate,v.(使)旋转
rotten,"a.腐烂的,腐朽的"
rough,"a.粗糙的;粗略的,大致的;粗野的,粗暴的"
round,a.圆的prep.围绕ad.在周围v.绕行n.(一)回合
roundabout,"a.迂回的,转弯抹角的 n.环状交叉路口"
rouse,vt./vi.唤醒，唤起；激励；激起
route,"n.路线,路程"
routine,"n.例行公事,常规 a.常规的,例行的"
row,n.(一)排，(一)行；吵嚷 v.划(船等)，荡桨
royal,"a.王室的,皇家的;第一流的,高贵的"
royalty,"n.皇家,皇族"
rub,"v.擦,摩擦"
rubber,"n.橡皮,橡胶;橡胶制品,胶鞋"
rubbish,"n.垃圾,废物;废话"
ruby,n.红宝石
rude,"a.粗鲁的;猛烈的,残暴的;粗糙的,粗陋的"
rug,n.(小)地毯;围毯
ruin,"v.毁灭;(使)破产 n.毁灭,崩溃;(pl.)废墟"
rule,"v.统治;支配;裁定n.规章,条例;习惯;统治"
ruler,"n.统治者,支配者;尺,直尺"
rumor,"n.(rumour)传闻,谣言"
run,v.奔，跑；流，淌；蔓延，伸展；经营；运转
rural,"a.乡下的,田园的,乡村风味的"
rush,"v.(使)冲;奔n.冲,急速行进 a.(交通)繁忙的"
rust,n.铁锈 v.(使)生锈
ruthless,"a.残酷的,无情的"
sack,"n.袋,包,麻袋 v.解雇"
sacred,a.神圣的;宗教的;庄严的
sacrifice,"n.牺牲,牺牲品;祭品 v.(for,to)牺牲,献出"
sad,"a.悲哀的,忧愁的"
saddle,"n.鞍,马鞍,鞍状物"
safe,"a.安全的,牢靠的;谨慎的,可靠的 n.保险箱"
safeguard,"v.维护,保护,捍卫 n.安全装置,安全措施"
safety,"n.安全,保险;安全设备,保险装置"
sail,"n.帆,航行 v.航行"
sailor,"n.水手,海员"
saint,"n.圣人,基督教徒;(S-或St.用于人,地名前)圣"
sake,"n.缘故,理由"
salad,"n.色拉,凉拌菜"
salary,"n.薪金,薪水"
sale,"n.出售,上市;贱卖,廉价出售;销售额"
salesman,"n.售货员,推销员"
salt,"n.盐,盐,类 v.腌,盐渍"
salute,"v./n.敬礼,鸣礼炮;迎接,欢迎"
salvation,"n.拯救,救助;救济(者,品),救助工具;救世主"
same,a.相同的 pron.相同的人(或物) ad.同样地
sample,"n.样品,实例,标本,抽样检查 v.取样,采样"
sanction,"n./v.批准,同意,支持,认可 n.处罚,制裁"
sand,"n.沙;(pl.)沙滩,沙地"
sandwich,"n.三明治,夹肉面包 v.夹入,挤进"
sane,"a.心智健全的,神志清醒的,明智的,稳健的"
sarcastic,a.讽刺的
satellite,"n.卫星,人造卫星;附属物"
satire,"n.讽刺,讽刺文学,讽刺作品"
satisfaction,"n.满足,满意;乐事,愉快"
satisfactory,"a.令人满意的,圆满的,良好的,符合要求的"
satisfy,"v.满意,使满意,使相信,说服"
saturate,vt.使湿透，浸透；使充满，使饱和
Saturday,n.星期六
sauce,"n.酱汁,调味汁"
saucer,"n.茶托,碟子"
sausage,"n.香肠,腊肠"
savage,"a.野蛮的;凶恶的,残暴的 n.野人,未开化的人"
save,"v.救,拯救;储蓄,贮存;节省"
saving,"n.挽救,救助,节约,储蓄;(pl.)储蓄金,存款"
saw,"n.锯子,锯床 v.锯,锯开"
say,vt.说，讲；说明；比如说 vi.说，发表意见
scale,"n.刻度;天平,磅秤;比例尺;规模;音阶;鱼鳞"
scan,"v.细看,审视;浏览;扫描 n.扫描"
scandal,"n.丑闻,诽谤,耻辱,流言蜚语,反感,公愤"
scar,"n.疤,疤痕;创伤 v.使留下伤痕,创伤"
scarce,"a.缺乏的,不足的;稀少的,罕见的"
scarcely,"ad.几乎不,简直没有,勉强"
scare,"n.惊恐,恐慌v.惊吓,受惊"
scarf,"n.围巾,头巾,领巾,领带"
scatter,"v.散开,驱散;散布,散播"
scene,"n.景色,景象,舞台;(戏)一场"
scenery,"n.风景,舞台布景"
scent,"n.气味,香味,香水,线索,嗅觉 v.嗅,发觉"
schedule,"n.时间表,进度表 v.安排,预定"
scheme,"n.计划,方案;阴谋;配置 v.计划,策划;阴谋"
scholar,n.学者
scholarship,"n.奖学金;学问,学识"
school,n.学校，(大学里的)学院；上学，学业；学派
science,n.科学;学科
scientific,a.科学上的
scientist,n.科学家
scissors,n.剪子
scold,"v.责骂,训斥"
scope,"n.(活动)范围;机会,余地"
score,"n.得分,分数;二十 v.得(分),记(…的)分数"
scorn,"v./n.轻蔑,藐视"
scout,"n.侦察员,侦察机(舰) v.搜索,侦察"
scramble,vi.(快速地)爬，攀登；互相争夺，争先
scrap,"n.碎片;废料 v.废弃,报废"
scrape,"v.刮(掉),擦过,勉强通过 n.刮,擦痕,刮擦声"
scratch,"v.抓,搔,扒 n.抓,搔,抓痕;起跑线"
scream,"v./n.尖声叫,喊叫着说出,(风)呼啸"
screen,"n.屏幕,屏风;帘 v.掩蔽,包庇;筛选"
screw,"n.螺旋,螺丝(钉) v.拧,拧紧"
script,n.剧本(原稿)；手稿，原稿；笔迹，手迹
scrutiny,n.周密的调查；仔细看；监视；选票复查
sculpture,n.雕刻(术)，雕塑(术)；雕刻作品
sea,n.海，海洋，大量
seal,"n.封铅,封条;印,图章;海豹 v.封,密封"
seam,"n.缝,接缝"
search,"v./n.(for)搜索,寻找,探查"
seaside,"n.海滨,海边"
season,"n.季,季节,时节"
seat,"n.座位,底座;所在地,场所 v.使坐下"
second,"a.第二;次等的,二等的 n.秒 v.赞成,附和"
secondary,"a.次要的,二级的;中级的,第二的"
secret,"a.秘密的,机密的 n.秘密"
secretary,"n.秘书,书记;部长,大臣"
section,"n.章节,部分;地区,部门,科;截面,剖面"
sector,n.部门，部分；防御地段，防区；扇形
secure,"a.(from,against)安全的,放心的v.得到;防护"
security,"n.安全(感),防御(物),保证(人),(pl.)证券"
see,vt.看见；会面；探望；知道，获悉；送行
seed,"n.种子 v.播种;结实,结籽"
seek,"v.(after,for)寻找,探索;试图,企图"
seem,"v.好像,似乎"
seemingly,ad.外观上，表面上
